parrucchiere;Friseur, Frisör
delitto;Frevel, Verbrechen, Vergehen
muscolo;Muskel
distanza;Abstand, Entfernung, Weite
certo;gewiss, sicher, bestimmt, zuversichtlich
denso;dicht, gedrängt, geschlossen
aspetto;Anblick, Aussehen, Aspekt
convenire;gehören, schicken, sich gehören, ziemen/ sich verständigen, übereinkommen, verabreden, vereinbaren
spingere;dringen, rücken, stoßen, treiben
orrendo, orribile;verabscheuenswürdig, verabscheuenswert
allo stesso tempo;zugleich
cuscino;Kissen
cabina;Kabine, Kajüte, Koje
farfalla;Falter, Schmetterling
petto;Brust, Busen
parentela;Verwandtschaft
anticipare;vorausnehmen, vorwegnehmen
strano;befremdend, kurios, seltsam, sonderbar, wunderlich
servire;dienen, bedienen/ Bursche, Diener, Gehilfe/ nützen
importanza;Tragweite, Wichtigkeit
dubbioso;fraglich
piatto;Schale, Schüssel/ Teller
vescovo;Bischof
rispettare;achten, hochschätzen/ Achtung erweisen, respektieren
cessione;Verzicht, Ausstieg, Abtretung
polmone;Lunge
appuntato;spitz
misurare;messen, abmessen
accoglienza;Annahme, Übernahme, Zusage/ Gruß
tenaglie;Gefäß, Griff, Knauf, Stiel
contadino;Bauer, Landwirt
impiegato;Angestellter, Arbeitnehmer/ Beamter
crescere;gedeihen, wachsen, anwachsen
lagnarsi;klagen, sich beklagen, verklagen
coltivare;heranbilden, züchten, veredeln, hegen, bebauen, anbauen, kultivieren
mortale;tödlich
masticare;kauen
antenato;Ahn, Vorfahr, Urahn/ Vorfahre
stupirsi;sich wundern, staunen
pressione;Drang, Druck, Drücken, Pressen
dedurre;ableiten, deduzieren, folgern/ schließen
civile;bürgerlich, zivil
America;Amerika/ Vereinigten Staaten, Vereinigte Staaten, Vereinigte Staaten von Amerika
marito, sposo;Ehemann, Gemahl, Gatte
pugno;Faust
patria;Heimat, Vaterland
torturare;foltern, martern, peinigen
atomo;Atom
membro;Anhänger/ Glied, Mitglied
inventare;entdecken, erfinden
osare;wagen
IVA;Mehrwertsteuer
albicocca;Aprikose, Marille
citazione;Zitat, Anführung
participio;Partizip, Mittelwort
proprio;eigen
deserto;Einöde, Wildnis, Wüste
ruscello;Bach
marmo;Marmor
galoppare;galoppieren
crudele;grausam
stimare;achten, hochschätzen/ abschätzen, bewerten, schätzen, einschätzen
vestire;anziehen, kleiden, ankleiden, bekleiden
praticare;praktizieren
abrogare, abolire;abschaffen, aufheben/ einstellen
insistere;beharren auf, drängen, trotzen
chitarra;Klampfe, Gitarre
fischiare;pfeifen
marcia;Gang
destro;rechter/ fix, geschickt, geübt, gewandt/ aufrecht, direkt, gerad, gradlinig, unmittelbar
mendicante;Bettler
costoso;lieb, teuer, wert
spiegazione;Erklärung/ Aufklärung, Erläuterung
Canadà;Kanada
discendenza;Abkunft, Abstammung, Herkunft, Ursprung
severo;streng
capelli;Haar/ Haare
aggiungere;beifügen, zufügen
mento;Kinn
piantare;legen, stecken, pflanzen, anpflanzen
sorpreso;verwundert
carico;Belastung, Bürde, Fuhre, Ladung, Last
contratto;Traktat, Vertrag
duomo, catedrale;Dom, Kathedrale, Münster
Giappone;Japan
rilevare;ablösen, ersetzen
Gran Bretagna;Britannien
mutande;Unterhose
salsiccia;Wurst
sgretolarsi;bröckeln
concorrenza;Konkurrenz, Wettbewerb
scompartimento;Abteil, Coupé, Kupee
truffa;Betrug, Täuschung
tutt'al più;zumeist
prendere;erbeuten, ergreifen, ertappen, erwischen, fangen, fassen/ nehmen
chiave;Schlüssel/ Schraubenschlüssel
accusatore;Ankläger
benche, sebbene;obgleich, obschon, wenn auch, zwar
catalogo;Katalog, Verzeichnis
capoverso;Absatz, Alinea
manifestazione;Demonstration
tradurre;übersetzen, übertragen
formale;förmlich, formell, formal
guarire;behandeln, heilen, kurieren
fisico;physikalisch, physisch
ardore;Glut, Feuer, Inbrunst/ Eifer
preparare;bereiten, vorbereiten/ zurichten
prosperare;gedeihen, gelingen, geraten, glücken, prosperieren
scimmia;Affe
arancia;Apfelsine, Orange
chiodo;Nagel, Stift
povertà;Armut
tacere;schweigen
commettere, fare;anfertigen, herstellen, leiten, machen, tun, zurücklegen
due volte;zweimal
migliaio;Tausend
paga, salario;Gage, Gehalt
Unione Europea;Europäische Union
libero;frei, geläufig
baleno;Blitz
avere;besitzen, haben, innehaben/ Kredit
scuro;dunkel, düster, trübe/ finster
volante, timone;Lenkrad
Danubio;Donau
Atlantico;Atlantischer Ozean
guanciale;Kissen, Kopfkissen
accoglimento;Annahme, Übernahme, Zusage
azione;Handlung, Tat/ Aktie, Anteilschein/ Prozess
ospitale;gastlich
regime, dieta;Diät
parzialmente, in parte;teils
detestare;verabscheuen
bisbigliare, sussurrare;flüstern
caro;lieb, teuer, wert
agente;Agent
cambiarsi;sich ändern
tossire;husten
insegnare;Auskunft geben, benachrichten, informieren, mitteilen/ lehren, belehren, unterrichten, unterweisen/ angeben, verkünden, ankündigen
zelo;Eifer, Inbrunst
accademia;Akademie
bracchio;Arm
piede;Bein, Fuß, Pfote
compositore;Komponist
camminare;fahren, gehen, treten/ laufen, marschieren
Egitto;Ägypten
scopa, granata;Besen
seppellire;beerdigen
elemento;Element/ Batterie, Monozelle
Svizzera;Schweiz, die Schweiz
annunzio, comunicato;Auskunft, Bekanntmachung
appoggiarsi;sich stützen
parziale;Partial-(ordnung), teilweise
patrigno;Stiefvater
esistenza;Bestehen, Dasein, Existenz
saggio;gescheit, klug, weise
minaccia;Bedrohung, Drohung
far la barba;barbieren, rasieren
respingere;zurückschlagen
abisso, burrone;Abgrund, Tiefe
aceto;Essig
filosofo;Denker, Philosoph
trovare;finden, befinden, erachten, ermitteln, vorfinden
decisivo;entschieden/ entscheidend
deputato, delegato;Abgeordneter, Delegierter
stagno;Teich, Tümpel, Weiher/ Zinn
significare;bedeuten, bezeichnen
tempo;Zeit/ Wetter, Witterung
contatore;Zähler/ Computer, Datenverarbeiter, Rechner
scandalo;Entrüstung/ Ärgernis, Skandal
fattoria;Bauernhof, Besitzung, Gut, Landgut
Giordania;Jordanien
compromesso;Kompromiss
completare;vervollständigen
spirituale;Geistes-, geistig, intellektuell
doloroso;schmerzend, Schmerzens-
incoraggiamento;Ermutigung, Ermunterung
pendere;hängen
doppio;doppelt, zweifach
scrivania, banco;Schreibtisch
cognato;Schwager
origine;Abkunft, Abstammung, Herkunft, Ursprung
innaffiare, annaffiare;bewässern
larghezza;Breite
sudare, traspirare;schwitzen
definire;bestimmen, definieren
contenuto;Inhalt
fuga;Flucht
verde;grün/ Grün
considerare;berücksichtigen, betrachten, erwägen, sich überlegen
conquistare;erobern
affrancatura;Frankatur, Porto
vantare;empfehlen, anpreisen
irlandese;Ire
smarrirsi, perdersi;sich verirren
ieri l'altro;vorgestern
critica;Beurteilung, Prüfung, ungünstige Besprechung, Tadel, negative Beurteilung, Kritik, Besprechung
Turchia;Türkei, die Türkei
fare sciopero;streiken
intravedere, scorgere;erblicken, gewahr werden
atmosfera;Atmosphäre/ Stimmung
crepuscolo;Zwielicht/ Dämmerung
conflitto;Konflikt, Streit, Widerstreit
differente;verschieden, verschiedenartig
salire;aufgehen, sich erheben, steigen/ ersteigen
asserzione;Behauptung
mendicare;betteln
bianco;weiß/ Weiß
sentiero;Fußweg, Pfad, Steg, Steig
fucile;Gewehr
commedia;Komödie, Lustspiel
gemelli;Zwilling
esserer d'accordo, concordare;beipflichten, beistimmen, einwilligen, zustimmen, zuwilligen
calzolaio;Schuhmacher, Schuster
albero;Baum/ Mast/ Pappel/ Welle
annualmente;alljährlich
alludere;anspielen, anspielen auf
sorellastra;Halbschwester
misterioso;geheimnisvoll, mysteriös
Baltico;Baltisches Meer, Ostsee
attendere;achtgeben, aufpassen, beachten, zusehen
passato;Vergangenheit/ vorig
progettare;planen/ entwerfen/ skizzieren
Etiopia;Äthiopien
trota;Forelle
sociale;gesellschaftlich/ sozial
annegarsi;ersaufen, ertrinken
approvazione;Beifall
disposizione;Anordnung, Anlage
cipolla;Zwiebel
convocare;zusammenrufen
chiamare;heißen, nennen, benennen, ernennen/ rufen, anrufen
protesta;Einspruch
ponte;Deck, Schiffsdeck, Verdeck/ Brücke
Spirito Santo;Heiliger Geist/ Paraklet
partenza;Abgang, Abreise, Abzug/ Abfahrt
pera;Birne
riconoscenza;Dankbarkeit
affermare;bejahen, ja sagen
ascensore;Aufzug, Fahrstuhl, Lift
cieco;blind/ Blinder
rabbioso;rabiat, tollwütig, wütend
attacco, assalto;Anfall, Angriff, Offensive
Parigi;Paris
superficie;Fläche, Oberfläche
residenza;Wohnort, Wohnsitz
tegola;Dachziegel, Pfanne, Ziegel
contatto;Berührung, Kontakt
alito;Atem, Hauch
ripido;abschüssig, steil
guardia, poliziotto;Polizist, Schutzmann
Iugoslavia;Jugoslawien
egoistico;selbstsüchtig, egoistisch
potabile;genießbar
Londra;London
dabbasso, giú;unten, unterhalb
congedo;Abschied
arachide;Erdnuss
maschio;männlich
consigliere;Ratgeber, Berater/ Rat
ecc.;u.s.w.
inseguimento;Verfolgung
in tempo;beizeiten, zeitig, zur rechten Zeit
buio;dunkel, düster, trübe
cacciare;jagen
ufficiale;amtlich, offiziell
ballerino;Balletttänzer/ Tänzer
infelice, per sfortuna;unglücklich
mobili;Hausgerät, Mobiliar
raccomandabile;empfehlenswert, ratsam
Renania;Rheinland
seguente;folgend, nächst, umgehend
barile;Fass, Tonne
rene;Niere
appuntamento;Rendezvous
nervo;Nerv
alimento, cibo;Ernährung, Futter, Nahrungsmittel
dirimpetto;stirnseitig, frontal, frontseitig
Messico;Mexiko
latta;Blech
stare;wohnen/ bleiben, übrigbleiben
predire;vorhersagen
contraddire;widersprechen
attivo;aktiv, tätig/ Aktiv, Tätigkeitsform, Haben, Forderungen, Aktiva, Einlagen/ arbeitsam, geschäftig
onda;Welle, Woge
zoccolo;Huf
cortile;Hof
neutro, neutrale;neutral, sächlich
triste;betrübt, traurig/ düster/ flau, träge/ verzagt
agitazione;Aufruhr, Aufregung
consigliare;raten, beraten, ratgeben
come;als, wie, inwiefern
martello;Hammer
dire addio;verabschieden, ausloggen, abmelden
depresso;flau, träge/ verzagt
annuale;jährlich
ereditare;erben, beerben
coperta;Deck, Schiffsdeck, Verdeck/ Decke, Deckel, Umschag/ Bettdecke
Brasile;Brasilien
allegro;fröhlich, heiter, lustig, vergnügt
aborto;Abtreibung/ Fehlgeburt
mostarda;Senf
corridoio;Gang, Hausflur, Flur, Korridor
seguito;Anhang
crudo;arg, rauh, roh
furibondo, furioso;rasend, stürmisch, toll, wütend
tallone;Ferse, Hacke
rendere difficile;erschweren
misericordioso;mitleidig, barmherzig
fucilare;erschießen
alzarsi;aufstehen, sich stellen/ sträuben
dar del tu a;duzen
edizione della sera, giornale della sera;Abendzeitung
concludere;ableiten, deduzieren, folgern/ schließen/ einen Vertrag schließen
temere, aver timore;befürchten, sich ängstigen, zagen
pisciare, orinare;Wasser lassen, urinieren, pinkeln
per cosÌ dire;gewissermaßen
trasportare;befördern, übertragen
bellezza;Schönheit
servizievole;hilfsbereit
poco a poco;allmählich, nach und nach
accorgersi;wahrnehmen, bemerken/ gewahr werden, inne werden
riso;Lachen/ Reis
rosso;rot/ Rot
odio;Hass
festa;Feier, Fest
sordo;taub
minacciare;bevorstehen, drohen
sommario;Übersicht
profitto, vantaggio, beneficio;Ertrag, Gewinn, Interesse, Nutzen, Verdienst, Vorteil
adulterio;Ehebruch
finanziario;finanziell
costume;Anzug, Gewand, Kostüm, Tracht/ Angewohnheit, Brauch, Gebrauch, Gepflogenheit, Gewohnheit, Usus
completo;vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum)/ ganz, total
raccomandare;raten, beraten, ratgeben/ empfehlen, anpreisen
barra;Stange
di ogni genere, ogni sorta di;allerlei
gas;Gas
circolo;Zirkel/ Kreis
sveglia;Wecker
comune;gemein, allgemein, gemeinsam, gemeinschaftlich
volgare;üblich, verständlich, vulgär
vergogna;Scham, Schande
affrettarsi;eilen, sputen
domani;morgen
utile;nützlich, vorteilhaft, zweckdienlich
estremo;äußerster, extrem
genero;Schwiegersohn
chiacchierone;Plappermaul, Schwätzer
divorzio;Scheidung
computer;Computer, Datenverarbeiter/ Zähler, Rechner
disturbare;beengen, behindern, belästigen, genieren, stören, lästig werden
cassetto;Lade, Schublade, Tischlade
brillante;blank
apprezzare;schätzen, würdigen/ abschätzen, bewerten, einschätzen/ achten, mögen, wertschätzen
materiale;Material, Zutat
processo;Prozess
correzione;Berichtigung, Korrektur, Verbesserung
dotato;begabt
serpente;Schlange
figurarsi;erdichten, sich einbilden, sich vorstellen
ottico;Optiker
bicicletta;Fahrrad, Rad
Pakistan;Pakistan
accendere;verbrennen/ zünden, entzünden/ einschalten
bocca;Mund, Mündung
ripugnanza, avversione;Abneigung, Antipathie, Wiederwillen/ Ekel, Übelkeit
Cile;Chile
furto;Diebstahl
perdita;Verlust
demolire;niederreißen, abbauen
cambiamento;Abwechslung, Änderung, Tausch, Veränderung, Wechsel
venerare, adorare;anbeten, verehren, vergöttern
pianola, tastiera;Klaviatur, Tastatur
piccione;Taube
raffredarsi;sich erkälten
ubriacone;Betrunkener
Amburgo;Hamburg
alzare;heben, aufheben, erheben, zücken
tappeto erboso;Rasen
ambiente;Umgebung
terrestre;irdisch, terrestrisch
fetta di pane;Butterbrot
datare;Datum ausmachen, Zeitpunkt festlegen, terminieren, Tag ausmachen, Termin festlegen, sich (zeitlich) verabreden, Datum festlegen, datieren, Zeitpunkt ausmachen
arma;Waffe
abete;Fichte, Tanne
consolato;Konsulat
trave;Balken
vizio, abitudine;Angewohnheit
autocarro, camion;Lastauto, Lastkraftwagen, LKW
stabile;stabil
migliorare;bessern, ausbessern, verbessern, veredeln
stagione;Jahreszeit, Saison
fuggire;ausreißen, entfliehen, entlaufen, fortlaufen, sich verlaufen/ fliehen, flüchten
dozzina;Dutzend
dentro;in, nach, zu/ binnen, inne, innerhalb, inwendig
pronunciare;aussprechen
salmone;Lachs
bagni, stazione balneare;Badeort
escludere;ausschließen
Stati Uniti;Vereinigten Staaten, Vereinigte Staaten, Vereinigte Staaten von Amerika
replicare, rispondere;antworten, beantworten, entgegnen, erwidern
aquila;Adler
alcoolico;Alkoholiker
scardola, piombo;Blei
soprattutto;besonders, zunächst/ eigens, insbesondere, vornehmlich, vorzüglich, zumal
relazione;Beziehung, Hinsicht, Verbindung, Verhältnis
globo;Globus, Kugel
eguale;egal
pregiudizio;Vorurteil
acuto;grell, herb, scharf/ akut, heftig, hitzig
Argentina;Argentinien
caratteristico;bezeichnend, charakteristisch, kennzeichnend
assicurare;behaupten, bestätigen, vergewissern
spigolo;Kante
fermata;Haltestelle/ Stillstand
acclamare;zujubeln, Beifall spenden
grazioso;freundlich/ liebenswürdig/ hübsch/ allerliebst, anmutig, hold, lieblich, reizend
serratura;Schloss, Verschluss
migliore;best/ besser
nascere;entstehen
avventura;Abenteuer
poeta;Dichter, Poet
affluenza;Überfluss
schermo;Bildschirm, Leinwand
Corea;Korea
interesse;Interesse, Zins/ Verzinsung, Zinsen
ecclesiastico;Geistliche
rispetto;Achtung, Verehrung/ Ehrfurcht, Respekt
davanti;früher, zuvor
colono;Bauer, Landwirt
alcool;Alkohol, Spritus
Maometto;Mohammed
pino;Kiefer
attrice;Schauspielerin
Bibbia;Bibel
massimo;maximal, maximales (Ideal), maximales (Element)
adattare, aggiustare;adaptieren, anpassen
sonare;gellen, klingen, läuten, tönen
fondere;fundieren, gründen, begründen
apoplessia;Schlag(anfall), Schlagfluß
per fortuna;glücklicherweise
brocca;Kanne, Krug
cestino dei rifiuti;Abfalleimer, Mülleimer
verso, circa;annähernd, etwa, ungefähr
controllare, verificare;kontrollieren, nachsehen, überwachen
erba;Gras/ Kraut
eterno;ewig
ala;Fittich, Flügel
fabbricare;anfertigen, fabrizieren, herstellen, verfertigen
complimento;Schmeichelei, Höflichkeitsbezeugung, Huldigung, Kompliment
serrare a chiave;schließen, verschließen, zuschließen
elefante;Elefant
caricare;anklagen, beschuldigen/ aufziehen, spannen, anspannen, ausspannen, straffen/ beauftragen, belasten, laden, aufladen, beladen
russare;schnarchen
ansioso;ängstlich
Gesù;Jesus
conto bancario;Konto, Bankkonto
lumaca, chiocciola;Schnecke
disputare, contestare;bestreiten, abstreiten
spazzolare;bürsten
anca;Hüfte
applausi;Applaus, Beifall
sostenere;anlegen, lehnen, anlehnen, stemmen, stützen, unterstützen/ behaupten/ unterhalten
calmo, tranquillo;gelassen, gemütlich, ruhig, still
agricoltura;Landwirtschaft
portare;bringen, heranbringen, überbringen/ tragen
radio;Radio/ Strahlen, Radius, Strahl, Halbgerade, Radioapparat, Radiogerät, Rundfunkempfänger, Rundfunkgerät
offrire;erbieten, opfern/ offerieren, anbieten
bambola;Puppe
raccomandazione;Empfehlung
come se;als ob, gleichsam
sospettare;argwöhnen, verdächtigen
fratellastro;Halbbruder
bastare;ausreichen, genügen, hinreichen, zureichen
quadro;viereckig
guadagno;Errungenschaft, Neuerwerbung, Neuanschaffung/ Ertrag, Gewinn, Interesse, Nutzen, Verdienst, Vorteil
fegato;Leber
unghia;Nagel
applaudire, battere le mani;applaudieren, Beifall spenden
invidia;Neid
insolente, impertinente;frech, unverschämt
casseruola;Bratpfanne, Kasserole, Kochpfanne, Pfanne
virtú;Tugend
piacere;behagen, gefallen, belieben/ Freude, Genuss, Vergnügen
sfondo;Hintergrund
orlo;Grat, Kante, Saum, Rand
appartamento;Appartement, Etagenwohnung, Gemach/ Wohnhaus, Wohnung
relativo;relativ, Relativpronomen
mancanza;Fehlen, Fehler, Manko
acciaio;Stahl
svoltare;drehen, wenden/ abschweifen, abweichen
pestare, affrancare;frankieren
rappresentare;repräsentieren, vertreten, vorstellen
dito del piede;Zehe
lenzuolo;Bettlaken, Laken
disegnare;zeichnen, abzeichnen
nemico;Feind
fedele;gläubig, treu/ bieder, loyal
sordomuto;taubstumm
conclusione;Schluss, Schlussfolgerung, Folgerung
timore;Angst/ Blödigkeit
spirito;Geist, Genius
arrestare;festnehmen, verhaften
ardente;brennend, glühend
dare in appalto;öffentlich ausschreiben, verdingen
vendita;Absatz, Debit, Vertrieb/ Verkauf
architetto;Architekt, Baumeister
tingere;streichen, färben, schminken
sterile;fruchtlos, steril
chiamata;Anruf, Zuruf/ Ruf
accentare;betonen, besonders betonen, akzentuieren
infezione;Ansteckung, Infektion
cercare;ausschauen nach, suchen, aufsuchen
orso;Bär
calcolare;erachten, kalkulieren, rechnen, berechnen
assicurazione;Versicherung
cortina;Gardine, Vorhang
diploma;Diplom, Prüfungszeugnis, Urkunde
pescare;fischen
arteria;Arterie, Pulsader, Schlagader
spiritoso;geistreich, sinnreich, witzig
sega;Säge
avaria;Beschädigung (während des Transports), Bruch (während des Transports), Havarie, Schaden (während des Transports), Seeschaden, Transportschaden
operoso;aktiv, tätig
volume, tomo;Band, Volumen
investire;einkleiden
panetteria;Bäckerei, Backstube
cuocere;backen
ottavo;achte
lì;dahin, dorthin
ordine;Auftrag, Bestellung/ Befehl, Gebot, Weisung, Edikt/ Aneinanderreihung, Reihenfolge, Verkettung
abituarsi, avvezzarsi;einüben, sich gewöhnen, sich vertraut machen
dolore;Schmerz, Weh
livello;Niveau
vita;Leben
statua;Bildsäule, Standbild, Statue
principalmente;besonders, eigens, insbesondere, vornehmlich, vorzüglich, zumal
determinato, fissato, definito;bestimmt
pelle;Balg, Fell, Tierhaut, Pelz/ Haut
equivoco, ambiguo;zweideutig
annunziare;ankündigen, anzeigen, avisieren, melden, anmelden, verkünden
tuono;Donner
distinguere;auszeichnen, hervorheben, unterscheiden
confetto;Bonbon
bistecca;Beefsteak
ingrediente;Bestandteil, Zutat
gratitudine;Dankbarkeit
universale;universal
azionista;Aktieninhaber, Aktionär
suoceri;Schwiegereltern
dimensione;Ausdehnung, Dimension
risolvere;lösen
attaccare;anfallen, angreifen, ausfallen, befallen, überfallen
fagiolo, fagiuolo;Bohne, Gartenbohne
storico;historisch
accettabile;annehmbar, akzeptabel
Finlandia;Finnland
sesso;Geschlecht, Sex
