planned performance;geplante Leistung, Leistungsvorgabe
attitude;Haltung, innere Einstellung
the cost of export licence;die Kosten der Ausfuhrbewiligung
take a risk;ein Risiko auf sich nehmen oder übernehmen
may be sent through another bank;können über eine andere Bank übersandt werden
ballast;Ballast
lowering of costs;Senkung der Kosten
functionary;Funktionär
in that case;in diesem Fall
topicality;Aktualität
personnel files;Personalakten
deviation clause;Abweichungsklausel
as defined in (B) below;wie unten unter (B) definiert
bullion;Gold in Barren, Gold- oder Silberbarren, Gold- und Silberbestand
unless it appears from the document;sofern es nicht aus dem Dokument hervorgeht
price system;Preissystem
masking paper;Abdeckpapier
decrease of the bank rate;Diskontsenkung (Br.)
at the latest from;spätestens vom
professional;professionell
name of the item;Bezeichnung des Artikels
liable in the second degree;subsidiär haftbar
authority for cancellation;Löschungsbewilligung
conveyance of property;Übertragung von Vermögen
break of costs;Kostenaufgliederung
privileged;privilegiert
jargon;Jargon
damaged;beschädigt
speculator;Spekulant
clothing allowance;Kleidergeld
option contract;Optionsvertrag
under usual reserve;unter üblichem Vorbehalt
means of subsistence;Existenzmittel
sue for performance;auf Erfüllung klagen
folder;Faltmappe, Schnellhefter
jewellery store;Juweliergeschäft
petrol station;Tankstelle
temporary staff;Aushilfen
independent trade;unabhängiger Handel
long of stock;mit Aktien eingedeckt sein
minority;Minorität
high-grade;hochgradig, hochwertig
free advertisement;Gratisanzeige, unberechnete Anzeige
reduction of price;Minderung des Preises, Preisnachlass
factory bookkeeping;Betriebsbuchhaltung
free of interest;zinsfrei
which is authorized to pay;die ermächtigt ist, zu zahlen
division of profits;Gewinnverteilung
workpiece;Werkstück
endorsement of a bill of lading;Konnossementsindossament
attestation;Bescheinigung, Testat
clear without ambiguity;eindeutig, Zweideutigkeit ausgeschlossen
extension of a labour permit;Verlängerung einer Arbeitserlaubnis
rural population;Landbevölkerung
integrated store;Filiale
amalgamation;Verschmelzung
all documents sent for collection;alle zum Inkasso übersandten Dokumente
accuse;anklagen
purchase intention;Kaufabsicht
burden of taxes;drückende Steuern
customs;Zoll
waste materials;Abfallstoffe
savings banking;Sparkassenwesen
business conditions;Geschäftsbedingungen
insertion;Inserat
automatic;automatisch
overriding commission;Provision an Obervertreter oder Großhändler
bill broker;Wechselmakler
equilibrium;Gleichgewicht
risks of loss;Gefahren des Untergangs
outbalance;überwiegen
extension of payment;Zahlungsaufschub
to refuse delivery of sth.;die Herausgabe verweigern
depression;Baisse, Wirtschaftskrise
extravagant expenses;übermäßiger Aufwand
vogue;Mode
date of payment;Termin für die Zahlung, Zahlungstag
the buyer's premises;das Grundstück des Käufers
paper bag;Papierbeutel, Papiertüte
mortgages payable;Hypothekenschulden
call box;Fernsprechzelle
case of average;Havariefall
biweekly;alle zwei Wochen
adapt;anpassen
kingdom;Königreich
advice of collection;Inkassoanzeige
outstanding sums;ausstehende Beträge
balance in hand;Kassenbestand
clause about the quality;Klausel betreffend die Qualität
inside broker;zugelassener Makler
gold rate;Goldkurs
joint acquisition;gemeinsamer Erwerb
branded articles, branded goods;Markenartikel, Markenware
packing note;Packschein
concurrent operations;gleichzeitig ablaufende Tätigkeiten
observation period;Beobachtungszeitraum, Beobachtungsdauer
damages in transit;Transportschäden
expatriation;Auswanderung
partly true;nur zum Teil wahr
paper is being replaced;Papier wird ersetzt
clean bill of lading;Konnossement ohne Einschränkung, reines Konnossement
sales quota;Sollvorgaben für den Verkauf
are to be;sollen
non-foods;Nichtlebensmittel
take care;sei vorsichtig
part-time;nebenberuflich
passbook;(US) Spareinlagenbuch
payments arrangement;Zahlungsregelung, Zahlungsvereinbarung
provisions for the time being;zur Zeit gültige Bestimmungen
able;fähig, tüchtig
careful packing;sorgfältige Verpackung
junk;altes Zeug
broad market;aufnahmefähiger Markt
rumour;Gerücht
may noiminate;kann nominieren
skywriting;Himmelsschreiben
term of office;Amtsdauer
acceptance of offer;Annahme des Angebots
once a month;einmal im Monat
you may appear in person;Sie können persönlich auftreten, erscheinen
unsecured loan;ungesichertes Darlehen
on behalf of;im Auftrag von
notice of accident;Unfallanzeige
unless the context requires;soweit der Kontext nicht verlangt
translator;Übersetzer
deposits on current account;Kontokorrenteinlagen
inquiry office;Auskunftsbüro
emergency call;Notruf
to consider that;der Ansicht sein, dass
kiosk;Kiosk
short-term credit;Kredit mit kurzer Laufzeit
by a collection order;von einem Inkassoauftrag
from force of circumstances;von den Umständen gezwungen
savings book;Sparbuch
sensitivity training;Bewusstseinstraining
to induce the customer to order;den Kunden zum Kauf veranlassen
quotation of the day;Tageskurs
gilt-edged market;Markt für mündelsichere Papiere
to call a meeting;eine Versammlung einberufen
farm products market;Agrarmarkt
investment broker;Makler für Investitionen
tax table;Steuertabelle
the property passes at once;das Eigentum geht sofort über
work sampling;Stichprobenverfahren durch Tätigkeitsauswahl
not subject to call;unkündbar
life annuity;Leibrente
subscribed capital;gezeichnetes Kapital
high seas;Hochsee, offene See
free zone;zollfreier Bereich, Freihandelszone
proof of identity;Nachweis der Indität
to send samples on request;Muster auf Verlangen zusenden
to refer a matter to arbitration;eine Sache dem Schiedsgericht unterbreiten
order bill;Orderwechsel
a request for settlement by amicable arrangement;Schlichtungsgesuch
shipping conference;Frachtkonferenz
unlawful act;unerlaubte Handlung
excess of age;Überalterung
charges;Kosten
federal government budget;Bundeshaushalt
net worth;Nettowert, Eigenkapital
growth;Wachstum
an example is;ein Beispiel hierfür ist
rate sheet;Kurszettel
allowed time;gewährte Frist, Zeitnorm, Vorgabezeit, Akkordzeit, zulässige Zeit, vorgesehene Zeit, zugelassene Zeit, vorgegebene Zeit, zugestandene Zeit
bi-manual;beidhändig, geschickt in beiden Händen
personal earnings;persönliche Einkünfte, persönliches Interview
railroad company;Eisenbahngesellschaft
squeeze;Klemme, zwingen
monetary;geldlich
forms of address;Formen der Anrede
pilot;Pilot
decimal system;Dezimalsystem
to effect acceptance;Akzeptleistung vornehmen
job schedule;Arbeitsablaufplan
continuous;fortlaufend, ununterbrochen
imaginary profit;erwarteter Gewinnverlust bei Versicherungen
forfeit;verfallen
off-season price;Preis außerhalb der Saison
owing debts;gegenwärtige Schulden
ban;verbannen, Verbot
forward exchange dealing;Devisentermingeschäft
we will pay as stipulated;wir werden wie vereinbart zahlen
forelady;Vorarbeiterin
readers at home;zu-Hause-Leser
play-back;Abspielen
factor comparison;Faktorenvergleich
loss of cargo;Verlust der Ladung
open an account;ein Konto eröffnen
easement;Grunddienstbarkeit
to assign proceeds;Erlös abtreten
suppression;Unterdrückung
abattoir;Schlachthof
audio-visual advertising;audiovisuelle Werbung
potential;Potential, potentiell
note of protest;Protesturkunde
record sth;etwas eintragen
the address of the bank;die Adresse der Bank
subsistence;Lebensunterhalt
obtain a licence;eine Lizenz erhalten
suspension;Aufhebung, Suspensierung
standing;Ansehen
contract of safe custody;Verwahrungsvertrag
specified amount;genau festgelegte Menge, bestimmte Menge
cover note;Deckungsbestätigung
old age exemption;Altersfreibetrag
to act upon instructions;nach Weisungen verfahren
goods on order;Auftragsbestand
consuming public;Verbraucherschaft
allocate;zuteilen, zuweisen
starting rate of pay;Eintrittslohn, Anfangslohn
bankruptcy;Bankrott, Zahlungseinstellung
economic expert;Wirtschaftssachverständiger
middle-sized;von mittlerer Größe
mint;Münze
technological changes;Änderungen der technischen Verfahrensweisen, technische Veränderungen
demand and supply;Nachfrage und Angebot
capital-intensive;kapitalintensiv
discrimination in price;Spaltung der Preise
satisfaction of a debt;Tilgung einer Schuld
loading of goods;Verladung
lending rate;Lombardsatz
until the bill matures;bis der Wechsel fällig wird
investment department;Kapitalanlageabteilung
International Chamber of Commerce;Internationale Handelskammer
disposition to buy;Kaufbereitschaft
similar documents;ähnliche Dokumente
exchange market;Devisenmarkt
absent;abwesend
direction of a company;Leitung einer Firma
admissible;zulässig
in force on;Tag des Inkrafttretens
office manager;Büroleiter
printed form;Vordruck
pensionable age;Altersgrenze, Pensionsalter
order by telex;mit Telex erteilter Auftrag
reserved to himself;sich vorbehalten
rain insurance;Schlechtwetterversicherung
freely offered;stark angeboten
at the time of the contract of sale;bei Abschluss des Kaufvertrags
the freight for the carriage of the goods;die Fracht für die Beförderung
retail store chain;Einzelhandelskette
back out of;sich zurückziehen von
tax;besteuern, Steuer
under a false name;unter falschem Namen
market place;Markt, Marktplatz
usual for loading;üblich für die Beladung
pessimistic time;pessimistische Zeit
release of a debt;Erlass einer Schuld
gold supply;Goldangebot
theft exclusion clause;Diebstahlausschlussklausel
cash-and-carry wholesaler;Abholgroßhändler
new edition;neue Ausgabe
on such terms;zu solchen Bedingungen
job sheet;Akkordzettel
mean age;Durchschnittsalter
qualified endorsement;eingeschränktes oder unverbindliches Indossament
ordinary shareholder;Stammaktionär
any discrepanies in the documents;etwaige Unstimmigkeiten in den Dokumenten
piecework price;Stückpreis
ranking method;Rangreihenmethode
unclaimed;nicht beansprucht, nicht geltend gemacht
prescribed in the regulations;in den Bestimmungen vorgesehen
negotiable document;begebbares Papier
in a transferable form;in übertragbarer Weise
forward contract;Terminabschluss
advertising effect;Werbeeffekt
discharge cargo;Fracht entladen
unit price;Stückpreis
index of members;Verzeichnis der Mitglieder
because of such failure to take delivery;wegen solcher Nichtannahme
postage rate;Portosatz
alientation coefficient;Entfremdungskoeffizient
bank cheque;Bankscheck
high-duty;hochleistungsfähig
dividends not yet collected;noch nicht abgehobene Dividenden
extraordinary circumstances;außergewöhnliche Umstände
entrepreneur;Unternehmer
the present term;die vorliegende Klausel
average hourly earnings;Durchschnittsstundenverdienst
job title;Berufsbezeichnung, Stellenbezeichnung
transfer in blank;Blankoabtretung
amount of an invoice;Rechnungsbetrag
narrow margin;enge Spanne
daywork;Tagesarbeit
arbiter;Schiedsrichter
absence rate;Abwesenheitsrate
jettison;über Bord werfen, Ware über Bord werfen
extension of a B/L;Prolongation eines Wechsels
communication by electronic systems;Mitteilungen über elektronische Systeme
accruals;aufgelaufene Kosten
contract of apprenticeship;Lehrvertrag
photo;Photographie
potential buyer;möglicher Käufer
order to pay;Zahlungsanweisung
we will disperse our orders;wir werden unsere Aufträge verteilen
remaining amount;Restbetrag
exceptional price;Sonderpreis
landing charges;Landegebühren, Löschungskosten
nevertheless;nichtdestoweniger
transaction for cash;Bargeschäft
individual protection;besonderer Schutz
unfit;ungeeignet
tacit;stillschweigend
factory employee;Fabrikangestellter, Fabrikarbeiter
maximum;Höchstwert
discrepancy;Unstimmigkeit
to supply the goods;die Ware liefern
minimum order;Mindestauftragsgröße
unreasonable;unbillig, unvernünftig, unangemessen, unverschämt
letting;Vermietung
articled clerk;Rechtsanwaltsgehilfe
flow of goods;Güterstrom
to limit such references;solche Verweisungen zu limitieren
seldom;selten
balance time;Restzeit, Leerlaufzeit
the embursements deducted;die abgezogenen Aufwendungen
subsequent frustration;nachträgliche Unmöglichkeit
unsual conditions;übliche Bedingungen
bureaucracy;Bürokratie
tobacconist;Tabakwarenhändler
assumption of an obligation;Übernahme einer Schuld
want of care;mangelnde Sorgfalt
affair;Angelegenheit
beginning of April;Anfang April
calendar year, calender year;Kalenderjahr
wearout test;Abnutzungstest
limited variety;Typenbeschwänkung
reduction of fees;Gebührenermäßigung
interest voucher;Zinsschein
performance evaluation;Leistungsbewertung
documents as defined below;unten definierte Dokumente
factors of safety;Sicherheitsfaktoren
bad batch;schlechter Stapel
the essential provisions;die wesentlichen Bestimmungen
indicating that;aus dem sich ergibt, dass
alimony;Alimente
against all responsibilities;gegen alle Verantwortlichkeiten
responsible for their payment;verantwortlich für deren Zahlung
specific;besonders
maladministration;Misswirtschaft, schlechte Unternehmensführung
federal tax;Bundessteuer
repayable;rückzahlbar
acceptance in case of need;Notakzept
opening paragraph;einleitender Satz
financial centre;Finanzplatz
order clause;Orderklausel
settle down in business;sich im Geschäft niederlassen
run on the bank;Ansturm auf die Bank
acting manager;stellvertretender Leiter
register of members;Liste der Mitglieder
attention getter;Aufmerksamkeitserreger
white-collar worker;Büroangestellter
short of money;knapp an Geld
rag-fair;Trödelmarkt
financial conditions;finanzielle Lage
accompanying documents;Begleitpapiere
placement;Plazierung
trend of prices;Preisentwicklung
receipt of goods;Wareneingang
servicing business;Dienstleistungsgeschäft
this will ensure regular supplies of raw material;regelmäßige Versorgung sichern
real purchase power;effektive Kaufkraft, reale Kaufkraft
instructions as to the further handling;Weisungen für die weitere Behandlung
vocational guidance;Berufsberatung
facing first editorial page;gegenüber der ersten Textseite
diminish;verringern
recommendation;Empfehlung
faulty goods;nicht einwandfreie Ware, fehlerhafte Ware
easing of the capital market;Lockerung des Kapitalmarktes
unsteady;unbeständig
payment in part;Teilzahlung
government securities;Staatsanleihe
for some other reason;aus einem anderen Grund
note of registration;Vermerk der Registrierung
actual amount;Istbetrag
allocation of responsibility;Übertragung von Verantwortung
in brackets;in Klammern
fraudulent entry;betrügerische Falschbuchung
full statement of the facts;umfassende Darstellung der Tatsachen
luncheon;Mittagessen
mature;fällig, reif
venturous;wagemutig, einsatzbereit
fiscal domicile;Steuerwohnsitz
factory manager;Betriebsleiter, Werksleiter
disaster area;Katastrophengebiet
middle price;mittlerer Preis, Durchschnittspreis
territory;Gebiet
means test;Vermögensprüfung, Bedürftiskeitsnachweis
workplace;Arbeitsplatz
standing committee;ständiger Ausschuss
recommended;empfohlen
any documents;irgendwelche Dokumente
erroneous entry;Fehlbuchung, irrtümliche Buchung
buy sb. over;jemanden bestechen
standardization;Standardisierung
burdensome;beschwerlich
collision at sea;Zusammenstoß auf hoher See
job time;Stückzeit
bring the goods;die Ware transportieren
if paid on behalf of the seller;falls im Namen des Verkäufers gezahlt
back interest;rückständige Zinsen
venture;Wagnis, Unternehmen, Risiko
natural person;natürliche Person
tariff preferences;Zollpräferenzen
preferential duty;Vorzugszoll
exclusive of VAT;ausschließlich Mehrwertsteuer
ready-made;von der Stange
airport of entry;Zollflughafen
promptly;sofortig, umgehend
index card;Karteikarte
fixed;befestigt, festgelegt
counterfeit;fälschen, Fälschung
throw away;wegwerfen
heavy;schwierig, schwer
delcredere bond;Garantieschein
bonds market;Markt in Obligationen
difference;Unterschied
costs incidental to sth.;Nebenkosten
task of arbitrator;Rolle des Schiedsrichters, des Vermittlers
economy as a whole;die Wirtschaft als Ganzes, Gesamtwirtschaft
fraudulent statements;betrügerische Erklärungen
part-time job;nebenberufliche Tätigkeit, Teilzeitstellung
open-air theatre;Freilichttheater
volume of foreign trade;Umfang des Außenhandels
misappropriate;veruntreuen
export marketing;Export-Marketing
consignment;Sendung, Kommission
exorbitant price;Wucherpreis
price list;Kurszettel, Preisliste
indicate;anzeigen, bezeichnen, andeuten
long-term indebtedness;langfristige Verschuldung
municipal loan;Kommunalanleihe
the drawee refuses to pay;der Bezogene weigert sich zu zahlen
financially supported;finanziell unterstützt
to cover insurance;eine Versicherung abschließen
a superimposed clause;eine hinzugefügte Klausel
foreign trade;Außenhandel
product design;Produktgestaltung
world economy;Weltwirtschaft
business dealings;Geschäfte, geschäftliche Transaktionen
deferred payment;hinausgeschobene Zahlung
active opening;lebhafte Eröffnung
maturity date;Fälligkeitsdatum
admission;Zulass
makeshift;Notbehelf
against acceptance;gegen Akzeptierung
technical knowledge;Fachkenntnisse
to handle a case well;eine Sache gut bearbeiten, behandeln
paying bank;zahlende Bank
joint costs;gekoppelte Herstellungskosten
immigration quota;Einwanderungsquote
nostro account;Nostrokonto
socialist;Sozialist
accept a proposal;einen Vorschlag annehmen
handbook;Handbuch, Leitfaden
control;Kontrolle, kontrollieren
department superintendent;Abteilungsleiter
knowledge of measurement;Kenntnis der Abmessungen
falsification of a document;Verfälschung eines Dokuments
sudden increase;plötzliche Zunahme
to work hard;schwer arbeiten
early retirement;vorgezogener Ruhestand, vorzeitige Pensionierung
straight proportional;linear
auxiliary forces;Hilfstruppen
advice note;Avis, Versandanzeige
mixed economy;gemischte Wirtschaftsform
supply;versorgen
quality goods;hochwertige Ware
collection of outstanding debts;Einziehung von Außenständen
preserve;bewahren, konservieren
customs duties;Zölle
assignment of a debt;Abtretung einer Forderung
second best;zweitbest
superimposed by the carrier;vom Frachtführer auferlegt
sum;Summe
to clear the goods for export;die Ware für den Export freimachen
cost;Kosten
indexed pension;den Lebenshaltungskosten angepasste Rente
betrayal of confidence;Untreue, Vertrauensbruch
detention;Zurückhaltung einer Ware
abandon;abandonnieren, aufgeben
test run;Feldversuch
representation;Vertretung
calculation of charges;Berechnung der Gebühren, Berechnung der Kosten
stock;Lagerbestand
minimum size;Mindestgröße
bogus bank;Schwindelbank
check-out point;Kassierstelle
development costs;Entwicklungskosten
special agent;Bevollmächtigter für ein Rechtsgeschäft
telegraphic;telegraphisch
wage-price spiral;Lohnpreisspirale
short-term debt, short-term indebtedness;kurzfristige Verschuldung
general meeting;Generalversammlung, Hauptversammlung
sales promoter;Verkaufsförtderer, Werber
evaluation;Bewertung, Auswertung
annual audit;Jahresabschluprüfung
factor analysis;Faktorenanalyse
short of sth.;Mangel an etwas
consumer research;Verbraucherforschung
funding;Umwandlung einer Schuld
drawing up a contract;einen Vertrag entwerfen
guaranteed wages;garantierte Löhne
sample size;Stichprobenumfang
leading hand;Vorarbeiter
payment transactions, payments;Zahlungen, Zahlungsverkehr
keep under control;unter Kontrolle halten
trade advertising;Händlerwerbung, Branchenwerbung
part of the amount of the documents;Teil des Dukumentenbetrags
market of issue;Emissionsmarkt
incremental cost;Mehrkosten
labour-intensive;lohnintensiv
intermedia comparison;Medienvergleich
to bring capital into the partnership;Kaptal in die oHG einbringen
delegate;delegieren
money transaction;Geldgeschäft
grant a permit;eine Erlaubnis erteilen
agricultural population;in der Landarbeit beschäftigte Bevölkerung
competitive capacity;Wettbewerbsfähigkeit
remit;übersenden, überweisen
backwardation;Deportgeschäft, Kontango, Prolongationsgebühr
industrial interests;Industriebeteiligungen
identification paper;Ausweispapier
any other duties and taxes;alle sonstigen Abgaben
allowable;zulässig
individual bargaining;Einzellohnverhandlung
lodge a claim;eine Forderung anmelden, Klage einbringen, einen Anspruch erheben
tenant;Mieter
schedule;Aufstellung, Plan, Ablaufplan
duty to give notice;Anzeigepflicht
sideline;Nebenbeschäftigung
salvage charges, salvage costs;Bergungskosten
expel;ausschließen, vertreiben
misunderstand;missverstehen
if procurable;sofern dies möglich ist, wenn möglich
grievance committee;Beschwerdeausschuss
load;laden, beladen, Ladung, Belastung
import control;Einfuhrkontrol
building activity;Bautätigkeit
process;bearbeiten, Prozess
parking meter;Parkuhr
position of trust;Vertrauensstellung
to advise accordingly;dementsprechend benachrichtigen
a range of products;eine Auswahl an Produkten
bank examiner;Bankrevisor
wording of a bill;Wortlaut eines Wechsels
loss of weight;Gewichtsverlust
discharge;Entlassung, Entlastung, entlassen
eligible for discount;diskontfähig
to place any rubber stamps;irgendwelche Stempel anbringen
requisite money;erforderlicher Geldbetrag
piecemeal;stückweise
high-level;auf hoher Ebene
payment;Zahlung
glass bottle;Glasflasche
machinable;maschinell bearbeitbar
high water;Hochwasser, Flut
extinct;erloschen
competitive price;wettbewerbsfähiger Preis
prices have recovered;Preise haben sich erholt
parity change;Änderung des Wechselkurses
internal;innerbetrieblich
latent;latent
wages department;Lohnabteilung
fully employed;voll beschäftigt
pram park;Stellfläche für Kinderwagen
pattern of behaviour;Struktur des Verhaltens
turn into money;in Geld umsetzen, verflüssigen
authority to sign;Unterschriftsberechtigung, Vollmacht zu unterschreiben
indirect material cost;indirekte Materialkosten
narrow market;enger Markt, geringer Umsatz
non-accessable;abgabenfrei, nicht zu versteuern
bill holdings;Wechselbestand
wastage;Abfall, Verschwendung
stockbroker;Börsenmakler
junior employee;jugendlicher Angestellter, jüngerer Angestellter
delicatessen shop;Delikatessenladen
concealment;Verschleierung
machinist;Mechaniker
as soon as a vacancy occurs;sobald etwas frei wird
allowance for expenses;Spesenzulage
depending on market conditions;konjunkturbedingt
coupon sheet;Couponbogen
index-linked stock;index-gebundene Aktie
poor result;schlechtes Ergebnis
decline in earnings;Minderung der Einkünfte
attention is invited to;es wird hingewiesen auf
should a settlement result;sollte ein Vergleich zustande kommen
repetitive element;sich wiederholendes Arbeitselement
make good for;wieder gut machen
betterment;Besserung
third arbitrator;Obmann des Schiedsgerichts
preferential terms;Vorzugsbedingungen
qualified acceptance;Annahme unter Vorbehalt, Akzept unter Vorbehalt, bedingte Annahme
processing time;Fertigungszeit
manufacturer;Fabrikant
tied-up money;angelegted Geld, gebundene Mittel
book review;Buchbesprechung
United Nations;Vereinte Nationen
basic industry;Grundstoffindustrie, Schlüsselindustrie
authority for registration;Bewilligung der Eintragung
priority;Priorität
supply agreement;Liefervertrag
surplus amount;Mehrbetrag
numerical classification;numerische Anordnung
selling price;Abgabepreis
price competitition;Preisrivalität
full;ganz, völlig
joint demand;gekoppelte Nachfrage
keep house;den Haushalt führen
early answer;baldige Rückantwort
prime costs;Selbstkosten
advancement;Weiterentwicklung
bonus committee man;Akkordvertrauensmann
specialist wholesaler;Fachgroßhändler
probability of survival;Wahrscheinlichkeit des Überlebens
place of origin;Ursprungsort
inability;Unvermögen
treaty;Vertrag zwischen Regierungen
demoralized market;äußerst gedrückter Markt
compute;berechnen, errechnen
part owner;Miteigentümer, Teileigentümer
joint action;gemeinsames Handeln oder Handlung
foreign;ausländisch
minimum piece rate;Mindeststücklohn
reverse side;die andere Seite, Rückseite eines Dokuments
sales promotion;Verkaufsförderung, Werbung
importing firm;Importfirma
middle-term;mittelfristig
open cheque;Barscheck
composition;Zusammensetzung, Abfassung, Vergleich
deed of gift;Schenkungsurkunde
preliminary questioning;vorläufige Befragung
discontinued;unterbrochen, eingestellt
shall be unable to take the goods;außerstande ist die Ware zu übernehmen
movement;Bewegung
default of payment;Nichtzahlung
axe a plan;einen Plan zerstören
registrar;Beamter verantwortlich für das Register, Registrierbeamter, Standesbeamter
interest receipts;Zinseingänge
cash balance;Kassenbestand
cheap goods;Ware geringer Qualität
a detailled record;eine detaillierte Aufstellung
admission fee;Eintrittsgebühr
closing of accounts;Rechnungsabschluss
suspension of payment;Zahlungseinstellung
hidden damage;versteckter Schaden
availability;Verfügbarkeit
receipt of payment;Zahlungseingang
assistance in obtaining;Hilfe bei der Beschaffung
future exchange;Devisenterminhandel
subject classification;Anordnung nach Sachgebieten
uncommitted;nicht zweckgebunden
bank loan;Bankdarlehen, Bankkredit
output per man-hour;Ausstoß je Arbeitsstunde, Stundenleistung
to deal in documents;sich mit Dokumenten befassen
unapplicable;nicht anwendbar
airlift;Luftkorridor
at destination;am Bestimmungsort
finance;finanzieren, Finanzierung, Finanzwirtschaft
large-scale consumer;Massenverbraucher
sample item;Musterstück
circular note;Reisekreditbrief
group incentive;Anreiz für Gruppenleistung
auxiliary time;Hilfszeit
currency restrictions;Währungsbeschränkungen
imprint;Aufdruck
available machine time, available process time;Betriebsmittelzeit, verfügbare Maschinenzeit
participation;Teilnahme
auctioneer;Versteigerer, Auktionator
rack;Wandregal, Ständer, Gestell
semi-bold;halbfett
30 day's notice;monatliche Kündigungsfrist
working motion;Arbeitsbewegung
liabilities;Passiva, Verbindlichkeiten, Passivposten der Bilanz
supervision;Aufsicht, Beaufsichtigung, Überwachung
banks are bound by such contracts;Banken sind durch solche Verträge gebunden
licensed;zugelassen
official business;dienstliche Angelegenheit, Dienstsache
commercial attache;Handelsattache
diversify;diversifizieren
operating expenses;Betriebsausgaben
must advise immediately;muss sofort benachrichtigen
enter in the books;verbuchen
