hygiène (f);Hygiene, Gesundheitspflege
souligner;"betonen, besonders betonen, akzentuieren; andeuten"
l'adolescence (f);Pubertät, Jugend
habile, adroit;fix, geschickt, geübt, gewandt
s'abaisser;heruntergehen, hinuntergehen
le poêle;"Pfanne; Herd, Ofen"
religieux;religiös
l'Indonésie (f);Indonesien
le sujet;"Subjekt; Thema"
en partie;teils
la clef;"Schlüssel; Schraubenschlüssel"
être différent;abweichen, sich unterscheiden
la marge, le rand;Rand
aéronautique;Luftfahrt, Flugwesen, Luftschiffahrtskunde
paraître;"erscheinen; aussehen; scheinen"
sortir de, émaner;quellen, entspringen
hâte (f);"Hast; Geschwindigkeit, Tempo"
la circulaire;Rundschreiben
le socialisme;Sozialismus
exempter, excepter;ausnehmen, ausschließen
hanche (f);Hüfte
l'intervalle (m);"Abstand, Distanz, Strecke; Intervall, Tempo"
l'hébreu (m), la langue hébraïque;Hebräisch, hebräische Sprache
le participe;Partizip, Mittelwort
la circonstance;Bewandnis, Umstand
la philosophie;Philosophie
apparaître;erscheinen
se réserver, faire abstinence;sich enthalten
l'accueil (m);Annahme, Übernahme, Zusage
rustique, grossier;"arg, rauh, roh; barsch, grob"
le Canada;Kanada
errer, rôder, vaguer;bummeln, irren, umherstreifen
ouvrir;"öffnen; aufmachen; aufschließen"
la vague;Welle, Woge
la localité;"Fleck, Ort, Platz, Stätte, Stelle, Terrain; Wohnort; Dorf"
habiller, vêtir;anziehen, kleiden, ankleiden, bekleiden
le conflit;Konflikt, Streit, Widerstreit
exercer;üben, einüben
le cadre;Einfassung, Rahmen
le singe;Affe
interne, intérieur;innerlich, intern, inwendig
l'accessoire (m);Zubehör, Nebensache
la racine;Wurzel
l'employé (m);Angestellter, Arbeitnehmer
le sida;Aids
le résultat;Erfolg, Ergebnis, Resultat
rationnel;rational, rationell, vernunftgemäß
accoutumer, habituer;gewöhnen, angewöhnen
avant-hier;vorgestern
la géométrie;Geometrie
la description;Beschreibung
la clavier;Klaviatur, Tastatur
le salon;Aula, Salon
l'amateur (m);Amateur, Liebhaber
tonner;donnern
social;"gesellschaftlich; sozial"
l'oignon (m), le bulbe;Zwiebel
abandonné;hilflos
invariable, constant;beständig, fest, konstant, ständig, stetig, unablässig
être fou;wahnsinnig sein, verrückt sein, durchgedreht sein
l'anniversaire (m);"Jahrestag; Geburtstag"
la quantité;Menge, Quantität
positif;positiv
raisonable, modéré;mäßig
le cube;Würfel
la fusée;Rakete
la langue espagnole, l'espagnol (m);Spanisch, spanische Sprache
le délice;Genuss, Freude
l'aventure (f);Abenteuer
le Berlin;Berlin
mettre en adjudication, mettre à l'entreprise;öffentlich ausschreiben, verdingen
le drapeau;"Banner, Fahne, Flagge; Standarte"
Moscou;Moskau
le dominateur;Herrscher, Statthalter
le sapin;Fichte, Tanne
haut-parleur (m);Lautsprecher
la mer du Nord;Nordsee
l'ami (m);"Freund; Gleichgesinnter"
la plaie;Plage
balayer;fegen, kehren, abkehren
l'avent (m);Advent
le coffret;"Kassette; Büchse, Schachtel"
barbu;bärtig
altruisme;Uneigennützigkeit, Altruismus
le consommateur;Konsument, Verbraucher
échanger;austauschen, auswechseln, umtauschen, vertauschen, verwechseln
s'allier;sich verbünden
la gymnastique;Gymnastik
le plomb;Blei
la maman;Mama, Mütterchen
pénible;schmerzend, Schmerzens-
guérir;"behandeln, heilen, kurieren; genesen, wiederherstellen"
la toile;Leinwand
l'étang (m);Teich, Tümpel, Weiher
la Corée du Sud;Südkorea
la Manche;Kanal
le bœuf;"Rindfleisch; Rind; Ochs"
la confiture;"Marmelade; Konfitüre"
la poupée, la marionnette, le guignol;Puppe
actualité;(aktuelles) Thema
assassiner;morden
le désespoir;Verzweiflung
l'Extrême-Orient (m);der Ferne Osten
le carbone;Kohlenstoff
double;doppelt, zweifach
l'aliment (m);Ernährung, Futter, Nahrungsmittel
pointu;spitz
affirmer;"behaupten; bejahen, ja sagen"
la Scandinavie;Skandinavien
l'éclair (m), la foudre;Blitz
la Cologne;Köln
le Danube;Donau
le domicile;"Wohnort, Wohnsitz; Haus, Heim; Wohnhaus, Wohnung"
se quereller;streiten, zanken
l'andouille (f), la saucisse;Wurst
se propager;sich verbreiten
avoir pour but, viser;bezwecken, trachten nach, zielen
réfuter;widerlegen
indirect;indirekt
l'Amérique centrale (f);Mittelamerika
le scarabée;Käfer
le kangourouo;Känguruh
gêner;beengen, behindern, belästigen, genieren, stören, lästig werden
galoper;galoppieren
entier;"voll; ganz, total"
l'esquisse (f);Entwurf, Skizze
le génie;Hochbegabter, Genie, Geist, Schutzgeist, Genius
porte document, le portefeuille, la collection à consulter;Aktentasche
semer;säen
le terme;"Ausdruck, Äußerung; Termin; Terminus, Wort"
le courant;"Strömung; elektrischer Strom"
humour (m);Humor
s'accoutumer;einüben, sich gewöhnen, sich vertraut machen
signifier;bedeuten, bezeichnen
l'adjectif (m);Adjektiv, Eigenschaftswort
l'inattention (f);Zerstreuung, Unaufmerksamkeit
la Serbie;Serbien
la truite;Forelle
la entente;Abkommen, Einklang, Übereinkommen, Übereinkunft, Übereinstimmung
l'invention (f);Erfindung, Erfinden
la dimension;Ausdehnung, Dimension
le semblable;Nächster
tant;sofern, insofern, sosehr, soviel, soweit
le tracteur;Traktor
la branche;"Ast, Zweig; Sektion"
abriter;"beherbergen; gastieren; begünstigen, schützen, beschützen, beschirmen; bergen, schirmen"
le tabouret;Hocker
le clou;Nagel, Stift
l'acte (m);Akt, Akte
le trottoir;Bürgersteig, Gehweg
le défenseur;"Advokat, Anwalt, Rechtsanwalt; Verteidiger"
la conviction;Überzeugung
venger;rächen
avaricieux, avare;geizig
haleter;keuchen
jack femelle;Buchse, Sakko, Klinke, Jackett
la cafetière;Kaffeekanne
automnal;herbstlich
le Pérou;Peru
amoureux;"liebevoll; Liebhaber"
le volant;Lenkrad
favorable;gewogen, gnädig, günstig, hold
commun;gemein, allgemein, gemeinsam, gemeinschaftlich
téléphoner;anrufen, telephonieren
garantir;"behaupten, bestätigen, vergewissern; bürgen, Gewähr leisten, haften, verbürgen; begünstigen, schützen, beschützen, beschirmen; bergen, schirmen"
le télégramme;Telegramm
caresser;schmeicheln, streicheln
le ruisseau;Bach
hébreu, hébraïque;hebräisch
hideux;verabscheuenswürdig, verabscheuenswert
le germe;Keim
la notion;klar definierte Idee, Notion, Begriff
vulgaire;"arg, barsch, grob; üblich, verständlich, vulgär"
le Scandinave;Skandinave
la droguerie;Drogerie
le bachelier;Abiturient
redire;entgegnen
le centre;"Mittelpunkt, Zentrum; Kern, Obststein; Mitte, Mittel"
l'astronome (m);Astronom, Sternforscher
la connaissance;"Bekannter; Begriff, Kenntnis, Kenntnisse; Bewusstsein; Wissen, Wissenschaft"
nommer;heißen, nennen, benennen, ernennen
songer;"erwägen, nachdenken, nachsinnen; schwärmen, träumen, wähnen"
le chef;Chef, Haupt
argentin;argentinisch
le millier;Tausend
le phénomène;Phänomen, Naturerscheinung
le gain;"Gewinn, Überschuss, Verdienst, Vorteil; Ertrag, Interesse, Nutzen; Gage, Gehalt; Erfolg, Gelingen"
le patron;"Wirt; Form, Schablone, Model, Stereotyp, Vorlage, Formel, eingefahrene Bahn"
par alliance;Schwieger-
la guitare;Klampfe, Gitarre
le dictionnaire;Wörterbuch
la Rome;Rom
l'Egypte (f);Ägypten
le gendre, le beau-fils;Schwiegersohn
résonner;gellen, klingen, läuten, tönen
le fard, le maquillage;Schminke
l'autruche (f);(Vogel) Strauß
supposer;vermuten, voraussetzen
le sentiment;"Gefühl, Sentimentalität; Sinn"
être sur les rangs;wetteifern, um die Wette laufen, am Wettstreit teilnehmen
le bambin, le gamin;Bube, Bursche
l'arrondissement (m);"Bezirk; Amtsbezirk, Distrikt"
cordialement;herzlich
royal;königlich
rendre;"machen, veranlassen; sich erbrechen, sich übergeben"
amok;Amok
absent;abwesend
le sexe;Geschlecht, Sex
acerbe;sauer
agir en hypocrite;heucheln, schmeicheln
être en colère;grollen, zürnen
le poète;Dichter, Poet
le canon;Kanon, Kanone
la poire;Birne
l'ornament (m), la parure;Verzierung
améliorer;bessern, ausbessern, verbessern, veredeln
la couverture;"Decke, Deckel, Umschag, Verdeck; Bettdecke"
la ressource;"Ausflucht; Mittel; Lebensmittel"
la renommée;Berühmtheit
l'examen final (m), l'examen de sortie (m);Abitur, Reifeprüfung
rebrousser, retrousser;aufkrempeln, knicken, aufschlagen, umschlagen, krempeln
aborder;"stranden; anhängen, anhaken, häkeln; ansprechen; sich nähern; landen; anfangen, beginnen; (ein Gesprächsthema) anschneiden; anbrechen"
l'aiguille (f);Nadel
le poing;Faust
l'Inde (f);Indien
la statue;Bildsäule, Standbild, Statue
la moyenne;Durchschnitt
pour toutes sortes de raisons;aus jedem Grunde
l'esprit (m);"Geist; Genius"
défaire;zerstören
le col;"Hals; Kragen"
le contrôle;Nachprüfung, Überprüfung, Kontrolle, Prüfung
vivant;belebt, lebendig, lebhaft
le bec;Schnabel
les actualités;Nachrichten
le jumeau;Zwilling
respondre, correspondre à;antworten, beantworten, entgegnen, erwidern
brésilien;brasilianisch
approcher;näher bringen
l'Allemagne de l'Ouest (f);Westdeutschland
hypocrisie (f);Heuchelei
la Croatie;Kroatien
la tuile;Dachziegel, Pfanne, Ziegel
sud-africain;südafrikanisch
l'ascenseur (m);Aufzug, Fahrstuhl, Lift
le peril;"Gefahr; Risiko, Wagnis"
le lièvre;Hase
fournir;liefern
le score;Punkt
la session;Tagung, Session
la place;"Anstalt, Ort, Platz, Stelle; Fleck, Stätte, Terrain; Posten"
le sabot;Huf
le dindon;Truthahn
brûlant;brennbar, Brenn-, brennend
naïf;naiv
le parfait;Perfekt
le Moïse;Mose(s)
l'interprète (m);"Interpret; Dolmetscher"
juste;"billig, gerecht; recht, richtig, zutreffend"
enflammer;zünden, entzünden
l'affliction (f);"Traurigkeit; Kummer"
lasser;"ermüden; verdrießen"
l'opticien (m);Optiker
peut-être;eventuell, möglicherweise, vielleicht, wohl
le départ;Abgang, Abreise, Abzug
utile;nützlich, vorteilhaft, zweckdienlich
Wurtemberg;Württemberg
en relation avec;betreffs, bezüglich
le point de vue;Standpunkt
la catastrophe;Katastrophe
la distribution;Vertrieb, Zustellung, Verteilung
beauté;Schönheit
l'affection (f);Affekt, Bewegung, Gemütsbewegung, Krankheit, Rührung, Erkrankung
enlever;"zurücklegen; auslegen, aussetzen, ausstellen; bergen, suspendieren"
attendrissant;ergreifend
le procès, le processus;Prozess
dire adieu, faire ses adieux;verabschieden, ausloggen, abmelden
l'abricot (m);Aprikose, Marille
transporter;befördern, übertragen
aberrant;"absurd; irre, toll, verrückt, wahnsinnig; widersinnig"
le Madrid;Madrid
insuffisamment;unzulänglich
l'oreiller (m);Kissen, Kopfkissen
avortement provoqué;Abtreibung
représenter;"ausdrücken; spielen; beschreiben; repräsentieren, vertreten, vorstellen"
le renseignement;"Auskunft, Bericht, Bescheid; Bekanntmachung"
amphitryon;Gastgeber
le matériau;Material, Zutat
prouver;begründen, beweisen
baptistère;Taufbecken
aggraver;"übertreiben, dick auftragen; verschlechtern, verschlimmern"
agricultuer, l'agriculteur (m), agriculteur;Bauer, Landwirt
sourd;taub
si;"allerdings, freilich, immerhin, ja, ja doch, wohl, zwar; doch; falls, wenn; sich; ob"
le muscle;Muskel
mêler, mélanger;mengen, mischen
la gratitude;Dankbarkeit
basket-ball;Basketball
le général;Feldherr, General
secouer;rütteln, schütteln, schüttern, erschüttern
l'époux (m);"Ehemann, Gemahl, Gatte; Ehepaar"
coûteux, cher;lieb, teuer, wert
persuader;überreden
mexicain;mexikanisch
civil;bürgerlich, zivil
la cire;Wachs
la comète;Komet, Schweifstern
le plateau;Präsentierteller, Tablett
Pays-Bas;Niederlande
la veille;"Tag vorher, Vorabend; Wache"
l'ironie (f);Ironie
le vote;Abstimmung, Votum
hélicoptère (m);Hubschrauber
les Etats-Unis;Vereinigten Staaten, Vereinigte Staaten, Vereinigte Staaten von Amerika
la locution;"Redewendung, Redensart; Ausdruck, Äußerung"
insuffisant;dürftig, knapp, rar
la simplicité;Einfachheit
le sommeil;Schlaf, Schläfrigkeit
s'abstenir;sich enthalten
le portrait;Bild, Bildnis, Porträt
alpiniste;Bergsteiger
l'Ecosse (f);Schottland
l'équipe (f);"Abteilung; Mannschaft, Team"
à personne;keines, niemandes
Hambourg (m);Hamburg
rapprocher;"näher bringen; annähern"
planter;legen, stecken, pflanzen, anpflanzen
être couché;gelegen sein, liegen
le scandale;Ärgernis, Skandal
accord;"Abkommen, Einklang, Übereinkommen, Übereinkunft, Übereinstimmung; Akkord"
hygiénique;gesundheitlich, hygienisch
le personnel;Personal
le sanguin, le vaisseau;Gefäß
le futur;"Futur, Futurum, Zukunft; Zukunftsform"
lever, soulever;heben, aufheben, erheben, zücken
observer;beaufsichtigen, beobachten, betrachten, verfolgen
heurter;"hauen, schlagen; klopfen; Anstoß erregen"
quoique;obgleich, obschon, wenn auch, zwar
l'islam (m);Islam
désespérer;verzweifeln
la ligue;Allianz, Band, Bund, Bündnis, Liga, Verband, Verbindung
autoroute, autostrade;Autobahn
se baigner;baden, ein Bad nehmen
le Néerlandais;Holländer, Niederländer
la contusion;Prellung, Quetschung
la pièce;"Fleck, Stück; Stube, Zimmer; Akt, Akte"
dernièrement;kürzlich, neulich
l'action (f);"Handlung, Tat; Aktie, Anteilschein"
être situé;liegen
mâle;männlich
le Japon;Japan
l'Israël (m);Israel
cruel, atroce;grausam
les proches (m);Verwandtschaft
interpeller;"ansprechen; anfragen"
la consolation;Trost
désolé;"betrübt, traurig; öde"
le privilège;Privileg, Vergünstigung, Vorzug, Vorzugsrecht
le pyjama;Schlafanzug
le bouddhiste;Buddhist
prononcer;aussprechen
arroser;bewässern
redresser;"berichtigen, korrigieren, verbessern; wiederherstellen"
la salle de bains;"Bad; Badestube"
aisé;wohlhabend
le domaine;"Bauernhof, Besitzung, Gut, Landgut; Abteilung, Fach"
le Sahara;Sahara
brave;brav, tapfer, tüchtig, wacker
horizontal;horizontal, waagerecht
le tremblement de terre, le séisme;Erdbeben
la transformation;"Änderung; Verwandlung; Metamorphose; Reform; Transformation; Wechsel; Abwechslung, Tausch, Veränderung"
l'institut (m);"Internat; Anstalt, Institut"
retrouver;wieder finden
journellement, quotidiennement, tous les jours, chaque jour;täglich, alltäglich
indépendant;selbstständig
substituer, mettre en place de;ersetzen
le foot, le ballon de football, le football;Fußball
chanter;"singen; zirpen"
l'activité (f);"Handlung, Tat; Tätigkeit; Herstellung"
affoler;wahnsinnig machen, verrückt machen, irr machen
la pitié, la compassion, apitoiement;Erbarmen, Mitleid
sonner;"gellen, klingen, läuten, tönen; hallen, schallen; anläuten, klingeln, anklingeln"
tragique;erschütternd, tragisch, unseelig, unheilvoll
le carré;Quadrat, Viereck
l'échec (m);"Fiasko, Misserfolg; Schach, Schachspiel"
à temps;beizeiten, zeitig, zur rechten Zeit
l'altitude (f);Höhe
confier une tâche;beauftragen, betrauen
abstrait;abstrakt, begrifflich, unwirklich
académique;akademisch
singulier;"seltsam, eigentümlich; außerordentlich; kurios, merkwürdig; befremdend, sonderbar, wunderlich"
oficiel;amtlich, offiziell
désoler, affliger;bekümmern, betrüben
la côtelette;Kotelett, Schnitzel
exact;"exakt, genau; recht, richtig, zutreffend"
le marteau;Hammer
l'argot (m);Gaunersprache, Slang
l'ennemi (m);Feind
endommager;beschädigen, (jmd.) schaden, schädigen, Schaden zufügen
se refroidir;sich erkälten
la psychothérapie;Psychotherapie
l'agenda (m);Agenda, Notizbuch
exprès;absichtlich
bénir;segnen
la zibeline;Zobel
le Londres;London
hâter;beeilen, beschleunigen, fördern, befördern
solennel;feierlich, festlich
le puissant;Herrscher
la poste aérienne;Luftpost
le gouvernement;Regieren, Regierung
moins;weniger, minus, abzüglich
la bougie électrique;(Zünd-)Kerze
le contenu;Inhalt
le Paris, le Pâris, le Paname, le Panam;Paris
le masque;Maske
se réjouir de;sich freuen an
prévoir;"vorhersehen; mutmaßen, vermuten; prognostizieren"
apercevoir;"erblicken, gewahr werden; bemerken"
gai;fröhlich, heiter, lustig, vergnügt
la géographie;Erdbeschreibung, Erdkunde, Geographie
concernant, quant à;"betreffs; bezüglich"
la descente;Abstieg
le lynx;Luchs
l'équation (f);Gleichung
l'ancêtre (m);"Ahn, Vorfahr, Urahn; Vorfahre"
le mérite;Verdienst
la sacoche, le porte-monnaie;Börse
jadis;"früher, einstmals; einmal, einst, irgendwann, jemals"
la montre;"Armbanduhr; Uhr"
le protestantisme;Protestantismus
extrêmement;"extrem, äußerst; meist, am meisten"
accélerer;beeilen, beschleunigen, fördern, befördern
l'étoffe (f);Stoff, Zeug
le caleçon, la culotte;Unterhose
le pessimisme;Pessimismus
connecter;koppeln, kuppeln, verbinden
principalement;besonders, eigens, insbesondere, vornehmlich, vorzüglich, zumal
ramer;rudern
s'enfuir;ausreißen, entfliehen, entlaufen, fortlaufen, sich verlaufen
recommander;empfehlen, anpreisen
extrême;äußerster, extrem
la provision;Versorgung, Vorrat
le siècle;Jahrhundert
le poids lourd;Lastauto, Lastkraftwagen, LKW
le cortège, escorte, la clique;Gefolge
le secteur;Sektor
cohérent;kohärent, zusammenhängend, verbunden
magnifique;"herrlich, stattlich, wunderbar; blank; grandios, großartig; pompös"
la soucoupe;Untertasse
standard;Norm-, normgerecht, normgemäß, normiert, genormt
le latin;Latein
sûr;"gewiss, sicher, bestimmt, zuversichtlich; vertrauenswert, zuverlässig; gefahrlos, harmlos"
l'Union Européenne (f);Europäische Union
ronfler, vrombir;schnarchen
rêver éveillé;schwärmen, träumen, wähnen
libre;frei, geläufig
la Rhénanie;Rheinland
le person de connaissance;Bekannter
agissant;aktiv, tätig
voler;"fliegen, huschen; entwenden, stehlen"
bas-ventre, l'abdomen (m);Abdomen, Bauch, Unterleib
obéissant;folgsam, fügsam, gefügig, gehorsam, zahm
la nappe, la nappe de table;Tischtuch
le slip de bain;Badehose
méditer;erwägen, nachdenken, nachsinnen
l'effroi (m);Entzetzen, Grauen, Schreck, Schrecken
augmenter;"gedeihen, wachsen, anwachsen; vermehren"
le commandement;"Behörde, Vorstand; Befehl; Regieren, Regierung"
se déplacer;"fahren, gehen, treten; sich bewegen"
la mer Baltique;Baltisches Meer, Ostsee
demeurer;"wohnen; verweilen"
apparent;scheinbar
la douzaine;Dutzend
grandir;"wachsen; gedeihen, anwachsen"
l'arrière-plan (m);Hintergrund
glisser;gleiten, glitschen, rutschen
le canne;"Stab, Stock; Angelrute"
vertical;senkrecht, vertikal
le trombone;Posaune
remuer;"bewegen, erschüttern, rühren; ergreifen, erregen, berühren"
le / la célibataire;Junggeselle
plaider;plädieren
être urgent;drängen
la spécificité;"Besonderheit; Unterschied; Auszeichnung"
la réaction;Reaktion
faire abnégation de;verleugnen
le stade;"Stadium; Stadion"
le singulier;Singular, Einzahl
joyeux;"fröhlich, heiter, lustig, vergnügt; froh"
estimer;"achten, hochschätzen; abschätzen, bewerten, schätzen, einschätzen; mögen, wertschätzen, würdigen"
accorder;stimmen
rauque;heiser
l'aisance (f);Wohlstand
assigner, allouer, adjuger;anweisen, überweisen
Hanovre (m);Hannover
national;"national; staatlich"
l'entente (f);Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung
l'aveugle (m);Blinder
vacciner;impfen
la misère;Elend, Not
allergique;allergisch
faire cuire au four;backen
la Majorque;Mallorca
la raquette;Schläger
aborigène;einheimisch
promettre;geloben, verheißen, versprechen, zusagen
additionnel;zusätzlich
le produit agricole;landwirtschaftliches Produkt
le plastique;"Plastik; Kunststoff"
ricaner;grinsen
l'auditorium (m);Auditorium, Hörsaal
la manifestation;Demonstration
immerger;eintauchen, untertauchen, tauchen
le visa;Visum
précéder;"vorangehen, vorgehen, vorausgehen; zuvorkommen"
la liste d'adresses;Adressbuch
le mouton;"Hammelfleisch; Hammel, Schaf"
luisant;blank
le règne;"Regieren, Regierung; Reich, Staat; Königswürde"
abrupt;"abgerissen, schroff; barsch, brüsk, grob; abschüssig, steil"
la maîtresse;"Liebhaberin; Gebieterin, Herrin"
multiplier;multiplizieren
concevoir;empfangen, schwanger werden
enseigner;lehren, belehren, unterrichten, unterweisen
hypothèse (f);Annahme, Hypothese, Voraussetzung
vif, vigilant, alerte;aufgeweckt, flink, frisch, gewandt, hurtig, munter, wach
arrêter;"festnehmen, verhaften; beenden, unterbrechen"
la carte;"Karte; Zettel; Menü, Speisekarte"
la grille;Gitter
collectionner;sammeln, einsammeln
négliger, dédaigner;"vernachlässigen; verpassen"
griller, rôtir;braten, rösten
la forêt;Forst, Wald
l'intelligence (f);"Intelligenz; Weisheit, Klugheit"
affiler, aiguiser;schleifen, wetzen
la relation;"Verhältnis, Zusammenhang; Bekannter; Erzählung, Geschichte; Bericht, Meldung, Rapport, Referat, Vortrag; Beziehung, Hinsicht, Verbindung"
tout d'abord;"besonders, zunächst; gleich, sogleich"
honorer;ehren, beehren, verehren
la Méditerranée;"Mediterran; Mittelmeer"
la prohibition, l'interdiction (f);Verbot
le Moyen-Orient, le Proche-Orient;der Mittlere Osten
l'abrégé (m), la réduction de texte;Übersicht
le crime;Frevel, Verbrechen, Vergehen
fermer à clé;schließen, verschließen, zuschließen
la soie;Seide
l'orteil (m), le doigt du pied;Zehe
partir;"losgehen, aufbrechen; abfeuern, abschießen; abreisen, fortgehen; starten"
le témoignage;"Zeugnis, Zeugenaussage; Attest, Zertifikat; Ausweis, Beweis, Beleg; Abzeichen, Anzeichen, Kennzeichen, Merkzeichen, Wink, Zeichen"
le mobilier;Hausgerät, Mobiliar
rassembler;"aufstapeln, häufen; zusammentragen, ansammeln; sammeln, einsammeln; mitnehmen"
marcher;gehen, laufen, marschieren, treten
la casserole;Bratpfanne, Kasserole, Kochpfanne, Pfanne
la merveille;Wunder
le bénéfice;Gewinn, Überschuss, Verdienst, Vorteil
austérité;Strenge
le bifteck;Beefsteak
en même temps;zugleich
la fidélité;Treue
stupide;"idiotisch, blödsinnig; albern, dumm"
la minorité;Minderheit
grimper, gravir;klettern, klimmen
monter;"einsteigen; montieren"
le dimanche;am Sonntag
l'ensemble (m);aneinander-
le titre;"Titel; Akt, Akte"
onzième;elfter
l'alcool (m);Alkohol, Spritus
le protestant;Protestant, evangelischer Christ
le compliment;Schmeichelei, Höflichkeitsbezeugung, Huldigung, Kompliment
la pratique;Praxis
progresser;fortschreiten, Fortschritt machen, vorschreiten
assurer;"versichern; behaupten, bestätigen, vergewissern; bürgen, Gewähr leisten, haften, verbürgen; ausführen, bestellen, erfüllen, leisten; geloben, verheißen, versprechen, zusagen; begünstigen, schützen, beschützen, beschirmen"
bâtir;bauen, aufbauen, erbauen, konstruieren
signaler;"hinweisen; andeuten; signalisieren"
eh bien;nun
prochain;"baldig; nächst; kommender, nächster"
prospérer;gedeihen, gelingen, geraten, glücken, prosperieren
le chevalier;Ritter, Kavalier
regretter;"bedauern; beklagen; bejammern, betrauern"
le talon;Ferse, Hacke
athlétisme;Leichtathletik, Athletik
le salaire, les appointements (m);Gage, Gehalt
impliquer;implizieren
être en relation avec;sich beziehen (auf), beschäftigen (mit), zu tun haben (mit), sich verhalten (zu)
la Bavière;Bayern
l'éléphant (m);Elefant
reprendre;"begutachten, kritisieren; vergelten; schelten, vorwerfen, Vorwürfe machen"
de toute manière;auf jede Weise
automatique;automatisch, selbsttättig, zwangsläufig
la prévision;Voraussage, Aussichten
revenir;zurückkommen
l'étape (f);Stadium
parler à, adresser la parole à;ansprechen
ardant;brennend, glühend
le sol;Grund (Boden), Boden (Grund), Erdboden, Grund
cru, brut;arg, rauh, roh
héros (m);Held
le sacrifice, la victime;Opfer
nerveux;nervös
l'amant (m);Liebhaber
le lion;Löwe
hardi;"frech, unverschämt; dreist"
la citation;Zitat, Anführung
ancien;"Ex-; alt"
le violon;Fiedel, Geige, Violine
le gène;Gen
avaler;schlingen, schlucken
