primevère à feuilles entières;Ganzblättrige Schlüsselblume
le chlore;Chlor
l'annuaire (m);Adressbuch / Almanach
serrer;verdichten / einschließen / beklemmen, drücken, bedrücken, pressen, zwängen / aufziehen, spannen, anspannen, ausspannen, straffen
sonder;sondieren
la bactérie;Bakterie
anthracite;Anthrazit
oxytropide champêtre;Gemeine Fahnenwicke
le Viennois;Wiener
astrophysique;Astrophysik
le narcisse;Narzisse
archétype;Urbild, Urform, Archetyp
le Nigérien;Nigrer
le prophète;Prophet
l'oranger (m);Orangenbaum
alléluia;halleluja
le territoire;Gebiet, Gelände, Territorium
s'abêtir;sich betäuben, sich abstumpfen
la portion, le contingent, la ration;Anteil, Portion, Ration
l'embouchure (f);Mund, Mündung
le chou-fleur;Blumenkohl
soldanelle;Troddelblume
la pointe;Spitze, Stift, Zacke, Zinke, Zipfel
le prestige;Prestige, Ansehen, Geltung
le ventre;Bauch, Unterleib
attribuer;anweisen, überweisen / beimessen, zuschreiben
la sorcière;Hexe
l'amande (f);Mandel
élever;aufziehen, züchten / heben, aufheben, erheben, zücken
le préparatif;Vorsorge / Vorbereitung
le champignon;Champignon
le clin d'œil;Augenwink, Wink
la licence;Erlaubnis, Gewerbeschein, Lizenz
soldanelle des Alpes;Alpen-Troddelblume
grelotter;frösteln
la biche;Hirschkuh, Hindin
l'eau-de-vie (f);Branntwein, Schnaps
sécher;dörren, trocknen, austrocknen / verdorren
l'aristo (m/f), l'aristocrate (m/f);Aristokrat, Edelmann
le fouet;Gerte, Peitsche
prétexter, se retrancher;angeben, vorgeben, vorschützen
le Niger;Niger
l'entrepôt (m);Stapel
le démocrate;Demokrat
le palladium;Palladium
l'autour (m);Habicht
la mûre sauvage;Brombeere
anthrax;Milzbrand
la lagune;Lagune
filtrer;filtrieren
réfléchir;bedenken, erwägen, sich überlegen / reflektieren, rückstrahlen / widerspiegeln, spiegeln
gémir;ächzen, jammern, seufzen, stöhnen, wehklagen, wimmern
enclin;geneigt zu
charger;beauftragen, betrauen / laden
dominicain;dominikanisch / dominicanisch
la fourniture;Versorgung
le Goth;Gote
la peau;Balg, Fell, Tierhaut, Pelz / Haut
proclamer;ausrufen, proklamieren
adorable;anbetenswert, himmlisch, entzückend
le Costa Rica;Costa Rica
réduire;reduzieren
Bullange;Büllingen
la préparation;Vorbereitung
la réflexion;Bemerkung, Beobachtung, Vermerk
l'ascète (m);Asket
l'apparition (f);Erscheinung / Geist, Gespenst, Phantom, Spuk
la couche de bébé;Windel
jordanien;jordanisch
la reine-marguerite;China-Aster
simple;einfach, einfältig
l'avenue (f);Prachtstraße, Allee, Avenue
la propreté;Reinheit, Reinlichkeit, Sauberkeit
l'alcool dénaturé (m);Brennspiritus
la clameur;Geheul
hormin des Pyrénées;Alpen-Drachenmaul
briller;blinken, glänzen, scheinen, schimmern, strahlen
le bâtard;unehelich, Bastard... / Bastard, Mischling
gentiane de Bavière;Bayerischer Enzian
le Tchad;Tschad
l'Adonis (m);Adonis
virer;anweisen, überweisen, indossieren
l'Olympe (m);Olymp
glissant comme une anguille;aalglatt
la sueur;Schweiß
le mammouth;Mammut
le bout;Ende / Spitze, Stift, Zacke, Zinke, Zipfel
le pylône;Pylon
l'impérialisme (m);Imperialismus, Kaiserherrschaft
velu, poilu;gezottelt, haarig, Zottel-, zottig
la Crète;Kreta
l'abondance (f);Übermaß, Fülle / Überfluss
hypoténuse (f);Hypotenuse
le tilleul;Linde, Lindenbaum
l'if (m);Eibe, Taxus
l'attachement (m);Anhänglichkeit
aniline;Anilin
la valve;Ventil
l'aversion (f), le dégoût, la répulsion;Abscheu, Greuel
le Breton;Bretone
le bouvreuil;Dompfaff, Gimpel
centraliser;zentralisieren
vrai;im Recht / authentisch, echt, recht, urkundlich, wahr, wahrhaft
matériel;materiell
le potassium;Kalium
glorifier;loben, preisen, rühmen, verherrlichen
reconnaissant;dankbar, erkenntlich
gentiane pourprée;Purpur-Enzian
le lilas;Flieder
le Bantou;Bantu
infirme;abgelebt, baufällig, gebrechlich, hinfällig / verkrüppelt
le dialogue;Dialog, Zwiegespräch
le phoque;Seehund
saxifrage à feuilles rondes, herbe aux cent coutures;Rundblättriger Steinbrech
avouer;anerkennen, beichten, gestehen, eingestehen
la charlatanerie;Humbug
le zinc;Zink
l'auge (f);Mulde, Trog
réserver;reservieren, vorbehalten, zurückbehalten
haleine (f), la respiration;Atmen, Atmung / Atem, Hauch
la remise;Nachlass, Rabatt, Vergünstigung, Vergütung / Remise, Garage / Abgabe
nigérian;nigerianisch
coréen;koreanisch
abricotier de Mandchourie;Mandschurischer Aprikosenbaum
le tampon, pare-chocs;Stoßstange, Puffer, Prellbock
la lettre recommandée;Einschreibebrief
affaiblir;erschlaffen
Sarrebourg;Saarburg
tailler;schleifen / hacken, hauen / zuschneiden / schneiden / meißeln, ziselieren
fruitier;ergiebig
bohémien;böhmisch
la rayure;Strich / Streifen
la cellule;Zelle
le Damas;Damaskus
héroïque;heroisch
le cimetière;Friedhof, Gottesacker, Kirchhof
Addis-Abeba;Addis-Abeba
hennir;wiehern
pousser à;anspornen, antreiben, aufhetzen, herausfordern
convenir;kongruieren / behagen, fügen, ziemen, geziemen / taugen
Baléares;die Balearen
alsacien;elsässisch
subir;erleben / aushalten, dulden, erdulden, ertragen, leiden, erleiden / zurücklegen
la ver luisant;Leuchtkäfer
le costume, le complet;Anzug, Gewand, Kostüm, Tracht
arrière-nièce;Großnichte
l'actif (m);Aktiv, Tätigkeitsform, Haben, Forderungen, Aktiva, Einlagen
le Sri Lanka;Sri Lanka
la pleine lune;Vollmond
le bannissement;Exil, Verbannung
abbatial;Abtei-, Abts-
studieux;gelehrig
convertir;bekehren, umstimmen
l'accumulation (f);Ansammlung / Anhäufung / Versammlung
le bandeau;Binde, Streifen
l'adrénaline (f);Adrenalin
le préjudice;Schaden, Sachschaden / Verderbnis / Verlust
l'enchaînement (m), la succession;Aneinanderreihung, Reihenfolge, Verkettung
l'empereur (m);Imperator, Kaiser
la monarchie;Monarchie
le coq de bruyère, le tétras;Birkhahn
l'Indien (m);Inder / Indianer
aztèque;aztekisch
faire paître;weiden
fortune;Fortuna, Gunst des Schicksals, Glück
noircir;anschwärzen
avoir une dette;schulden, schuldig sein
l'amplificateur (m);Verstärker
le dommage;Schaden, Sachschaden
angélique;Engelwurz / engelhaft
le troène;Liguster
fouetter, flageller;geißeln, stäupen
la langue russe;Russisch, russische Sprache
l'Indonésien (m);Indonesier
le marché;Basar, Markt, Warenhaus / Marktplatz
véritable;authentisch, echt, recht, urkundlich, wahr, wahrhaft
acquérir;erbeuten, erlangen, erringen, habhaft werden, sich erwerben / kaufen, sich kaufen, einkaufen
fixer;bestimmen, definieren / befestigen, festsetzen, fixieren
armer;waffnen, bewaffnen, rüsten
la Moselle;Mosel
barbue;Raute, Rhombus
l'estime (f);Achtung, Verehrung
alpaga;Alpaka
les hémorrhoïdes;Hämorrhoiden
athlétique;athletisch
la Volga;Wolga
soumettre;bezwingen, überwältigen, unterwerfen
cerise douce;Vogelkirsche, Süßkirsche
la Sardaigne;Sardinien
anal;anal
directement;aufrecht, direkt, gerade, geradeaus, geradeswegs, geradezu / geradewegs, unmittelbar / gleich, sogleich
finlandais, finnois;finnländisch
les îles Canaries;Kanarische Inseln
la route aérienne;Luftweg
frivole;frivol, leichtfertig / eitel, hinfällig
l'ordre du jour (m);Tagesbefehl, Tagesordnung
le tendon d'Achille;Achillessehne
couver;brüten
échauder;brühen
silencieux;verschwiegen
la bombe à incendie;Brandbombe
chardon bleu;Alpen-Mannstreu
aïe, hélas;weh, wehe
asphodèle;Affodill
l'Aix-la-Chapelle (f);Aachen
pomper;pumpen
canadien;kanadisch
l'Assyrie (f);Assyrien
le bijoutier;Juwelier
le vice;Verderbnis / Laster / Fehlen, Fehler, Manko
banal;abgedroschen, banal, fade
le sorcier;Zauberer
herser;eggen
malaisien;malaysisch
lâche;gemein, infam / verzagt
le nègre, le Noir;Neger, Schwarzer
rusé, artificieux, astucieux;arglistig, listig, schlau, gewitzt
le groseillier;Johannisbeerstrauch
s'agglutiner;sich heften an
la rente, le revenu;Einkommen, Rente
l'abêtissement (m);Betäubung, Abstumpfung, Verdummung
le discours politique;Diskurs
voter, élire;abstimmen, wählen
l'Argentin (m);Argentinier
exécuter;exekutieren, hinrichten, vollstrecken
tôt, de bonne heure;früh, zeitig
le secours;Erste Hilfe, Unfallhilfe
le Soudan;der Sudan, Sudan
la langue portugaise, le portugais;Portugiesisch, portugiesische Sprache
pavot des Alpes;Alpen-Mohn
le rhumatisme;Rheumatismus
défiler;vorbeimarschieren, defilieren
la pantoufle;Pantoffel
artériosclérose;Arterienverkalkung
envahir;einfallen
vertébral;Wirbel-
la pédale;Pedal
l'espalier (m);Spalier
varier;variieren
l'insigne (m);Insignien, Wappen
aldéhyde;Aldehyd
gentil;freundlich / süß / allerliebst, anmutig, hold, lieblich, reizend
l'erreur (f);Fehler, Irrtum, Versehen
le baume;Balsam
aimanter;magnetisieren
bantou;Bantu-
le lycée;Lyceum
l'album (m);Album
le bouc;Ziegenbock
le scorpion;Skorpion
héroïsme (m);Heroismus
le mastodonte;Mastodon
la proposition;Darbietung, Darstellung, Vorstellung / Aufführung, Vorlegung, Präsentation / Antrag, Gebot
le Barbe-Bleue;Blaubart
rougir;erröten, rot werden
scier;sägen
planer;schweben
aiguiller, commuter;umschalten, umschnallen
corse;korsisch
syrien;syrisch
cubain;kubanisch
l'addition (f);Addition / Anhang, Beilage, Supplement, Zugabe, Zusatz, Zuschlag, Zuschuss / Beisetzung / Kalkül
le delta;Delta
précisément;genau, exakt / bündig
le Tigre;Tigris
lutter;ringen
rappeler;herausfordern, hervorrufen / widerrufen
la lame;Klinge / dünne Platte, dünne Schicht / Rasiermesser
l'apesanteur (f);Gewichtslosigkeit, Leichtigkeit
faire banqueroute;in Konkurs gehen, Schiffbruch erleiden, eine Pleite erleben, Misserfolg haben, Bankrott machen, Konkurs machen, einbrechen, versagen, Pleite gehen, bankrottieren
l'inspecteur (m);Aufsichtsbeamter, Inspektor
l'idiot (m);Blödsinniger, Idiot, Stumpfsinniger
astrakan;Astrachan
artésien;artesisch
tabouret à feuilles rondes;Rundblättriges Hellerkraut
la psychose;Psychose
le brome;Brom
la fusion;Fusion
Le Caire;Kairo
l'embryon (m);Embryo
le guichet;Schalter, Schiebefenster
la lime;Feile
Haïti (f);Haiti
le trapèze;Trapez
ukrainien;ukrainisch
la Normandie;Normandie, die Normandie
hermine (f);Hermelin
jeûner;fasten
la structure;Bildung, Struktur
péniche, chaland, barge;Fähre, Lastkahn
absoudre;absolvieren, entbinden, freisprechen, lossprechen
abêtir;betäuben, abstumpfen, verdummen
glousser;glucken
l'augure (m);Wahrsagung
l'océan (m);Ozean, Weltmeer
le poil d'animal, le pelage;Balg, Fell, Tierhaut, Pelz
hausse (f);Steigerung
le filleul;Patenkind
l'initiative (f);Initiative / Veranlassung
le Polonais;Pole
le comité;Ausschuss, Komitee
suspendre;abdanken, entlassen, verabschieden / anhängen, aufhängen, erhängen, henken / aufschieben, fristen, stunden, vertagen, verzögern
la Barbade;Barbados
muet;sprachlos, stumm
la Tanzanie;Tansania
l'amulette (f);Amulett
le voyage;Reise, Tour
la cigogne;Storch
l'Asiatique (m), l'Asiate (m);Asiat
troubler;agitieren / in Unordnung bringen, in Verwirrung bringen, verwirren / trüben
l'écho (m);Echo, Widerhall
le figuier;Feigenbaum
l'avalanche (f);Lawine
le pôle;Pol
l'empreinte (f), la trace;Spur (einer Matrix)
la femme;Frau, Gemahlin
le lierre;Efeu
la menstruation;Menstruation
l'alliage (m);Legierung
Bitche;Bitsch
la marée haute;Flut, Zufluss
la bronche;Luftröhrenast, Bronchie
l'adjoint au maire (m);Helfer des Bürgermeisters, Schöffe
jamaïcain;jamaikanisch
la pourpre;Purpur
rapiécer;ausbessern, flicken
apocalyptique;apokalyptisch, mysteriös, dunkel, wirr
la vrille;Bohrer
toujours, en tous temps;allemal, allzeit, fortwährend, immer, jederzeit, stets
la joue;Backe, Wange
le Bochiman;Buschmann
anesthésie;Anästhesie, Narkose
mugir;brausen, sausen, zischen
le boulier;Abakus, Kugelmaschine, Rechenmaschine
vendre d'occasion;wuchern
trivial;trivial
coupler;kuppeln, koppeln
le Zeus;Zeus
la glycérine;Ölsüß, Glyzerin
longer;entlangschreiten, entlanggehen
accolade;Akkolade, geschweifte Klammer
l'Aristote (m);Aristoteles
l'étincelle (f);Funke
immaculé;unbescholten
tinter;hallen, klingen, läuten, schallen, tönen / klimpern, klirren
le gibier;Wildbret
embrayer;kuppeln, einkuppeln, verkuppeln, koppeln
l'algèbre (f);Algebra
gentiane de Clusius, gentiane de Koch, gentiane à tige courte;Stengelloser Enzian
interpréter;auslegen, deuten, dolmetschen
la rime;Reim
les aïeux;Ureltern
Corse;Korsika
repasser;bügeln, plätten
la cascade;Wasserfall
le xénon;Xenon
l'acarien (m);Milbe
les Mariannes;Marianen
trèfle brun;Braun-Klee
le faisan;Fasan
sorter;ausgehen, ausrücken
l'appui (m);Stütze
la phalange;Phalanx, Zehenglied, Schlachtordnung, Fingerglied
piller;rauben, berauben, plündern
hipothétique;hypothetisch
constater;als Tatsache feststellen, konstatieren
gaspiller, prodiguer;vergeuden, verschwenden
homard (m);Hummer
l'illettré (m);Analphabet
rembourrer;polstern
l'obscurité (f);Dunkelheit
grogner;nörgeln / grunzen
apprendre par l'expérience;erleben
vératre blanc;Weißer Germer
le parterre;Parterre
Rwanda;Ruanda
la tribune;Tribüne
le Nil;Nil
la torche;Fackel
la betterave;Bete, Mangold, Runkelrübe
ghanéen;ghanaisch
nigritelle noirâtre;Schwarzes Kohlröschen
barillet, baril;Fass
le mélèze;Lärche
la Birmanie;Birma
passif;passiv
triangulaire;Dreiecks-(matrix)
le géranium;Storchschnabel
azalée des Alpes;Niederliegendes Felsenröschen
l'Augias (m);Augias
le Lituanien;Litauer
l'anus (m);After, Hintern
barricader;verbarrikadieren, verrammeln
délirer;irre reden
l'Atlas (m);Atlas
distribuer;austeilen, verteilen, zuteilen / zerlegen / verallgemeinern
tordre;drehen, ringen, winden
l'aurochs (m);Ur, Auerochse
haut (m), le faîte;First, Gipfel, Wipfel
le reçu;Empfangsschein, Quittung
aryen;arisch
le gouffre;Abgrund, Tiefe / Rachen, Schlund / Spalte, Schlucht
flatter, aduler, amadouer;schmeicheln
le frein;Bremse / Sperre
l'épouse (f);Frau, Gemahlin
le ravisseur;Freibeuter, Wegelagerer
enregistrer;registrieren
amender;düngen, mästen, fetten / bessern, ausbessern, verbessern, veredeln
russe;russisch / Russisch, russische Sprache
étouffer, suffoquer;erdrosseln, ersticken, erwürgen
le Louvain;Löwen
la sardine;Sardine
faire tomber;fällen
l'adjudication (f);Lieferungsausschreibung, Verdingung
utopie;Utopie
le sodium;Natrium
le boulevard;Boulevard
arctique;arktisch, nordpolar
striduler;zirpen
le velours;Samt
l'instruction (f);Erziehung, Zucht, Züchtung / Unterricht / Belehrung, Weisung, Instruktion
le ressort;Feder, Triebfeder
hémorragie (f);Gewebeblutung, Hämorrhagie
le ver;Wurm
signer;subskribieren
Erstein;Erstein
la grêle;Hagel
agate;Achat
Moinet;Welschenbocholz
birman;birmanisch
l'étendard (m);Banner, Fahne, Standarte
la reprise;Wiederholung
réserver pour;ausersehen für, bestimmen für
amorphe;amorph / ungestalt
fil de fer barbelé, barbelé;Stacheldraht
le béryllium;Beryllium
l'alouette (f);Lerche
la vanité, la futilité;Vergeblichkeit / Eitelkeit
le phénix;Phönix
le panneau;Paneel, Täfelung / Brett, Tafel
l'inertie (f);Untätigkeit / Trägheit
l'anachronisme (m);Anachronismus
le râteau;Harke
ballerine;Balletttänzerin
le paradis;Paradies
le Petit Poucet;Däumling
Luxembourg;Luxemburg
opérer;agieren, handeln, verfahren, vorgehen, wirken / einwirken, erwirken / anfertigen, herstellen, leiten, machen, tun, zurücklegen / operieren
baptiser;taufen
la splendeur;Wunder / Gepränge, Pomp
l'échoppe (f), le stand, le kiosque;Baracke, Bude, Hütte, Scheune
le courrier;Eilbote, Kurier / Post
cirse épineux;Alpen-Kratzdistel
stupéfier, consterner;bestürzt machen, in Bestürzung versetzen, konsternieren
le studio;Atelier, Studio / Studium
le Pluton;Pluto
Hachy;Herzig
grouiller, fourmiller;schwärmen, wimmeln
Arlon;Arel
illuminer;illuminieren
opposé;widerwärtig / verkehrt
la Mésopotamie;Mesopotamien
autopsie;Autopsie, Obduktion
sabot de Vénus;Frauenschuh
sous-marin;unterseeisch
la barque;Barke, Nachen
le fruit à coque;Nuss
chypriote;zyprisch
la bulle, la vésicule, la vessie;Blase
l'écluse (f);Schleuse
intriguer;Ränke anzetteln, intrigieren
l'émotion (f);Empfindung / Bewegung, Rührung
alène;Ahle, Pfrieme
appuyer en écrasant;beklemmen, drücken, bedrücken, pressen, zwängen
l'Argus (m);Argus
s'apercevoir;gewahr werden, inne werden
l'appartement (m);Appartement, Etagenwohnung, Gemach
Alzingen;Alzingen
le cuivre;Kupfer
cracher;speien, spucken / ausspeien, auswerfen
le dompteur;Bändiger, Dompteur
ADN;DNS
l'asile (m);Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt
le liseron;Winde
la Frise;Friesland
l'airain (m);Bronze, Erz
l'instinct (m);Instinkt, Naturtrieb, Trieb
la pelle;Schaufel, Schippe
la paume;Handfläche
la réfutation;Widerlegung
maitriser;bewältigen, überflügeln, übersteigen, überragen, übertreffen
l'asthme (m);Asthma
le gredin, le canaille;Bandit, Schuft, Schurke
barbeau, le bleuet;Kornblume
l'asphalte (m);Asphalt, Erdpech
le succédané, l'ersatz (m);Surrogat
l'emphase (f);Begeisterung, Schwung
ne-m'oubliez-pas, le myosotis;Vergissmeinnicht
l'acanthe (f);Akanthus, Bärenklau
la coque;Borke, Hülse, Rinde, Schale
babylonien;babylonisch
flairer;riechen, wittern
la forêt vierge;Urwald
maudire;verfluchen, verwünschen
la trajectoire;Flugbahn
intermédiaire;mittlerer, mittlere, mittleres / Mittel-
débiter, partager;dividieren, teilen, einteilen, gliedern, verteilen, zerlegen
gâcher;pfuschen
perfide;arg, arglistig, boshaft, hämisch, tückisch, heimtückisch
la secte;Sekte
les archives;Archivgebäude, Urkundensammlung, Urkundenstelle, Dokumentensammlung, Dokumentationsstelle, Archiv
le pois;Erbse
le pygmée;Pygmäe, Zwerg
l'auréole (f);Heiligenschein
sale;unlauter
l'orge (m);Gerste
la Prague;Prag
le baryton;Bariton
improviser;improvisieren
la Castille;Kastillien
horloger (m);Uhrmacher
l'ablatif (m);Ablativ
déborder;überlaufen
alose;Alse, Maifisch
la fédération;Bundesgenossenschaft, Föderation
