on;man
la salle, la chambre;Stube, Zimmer
agréable;behaglich, angenehm, genehm
la voix;Stimme
nouveau;neu
l'Autrichien (m);Österreicher
se reposer;ruhen, sich ausruhen
quelqu'un;ein gewisser, einer, irgend einer, irgendwer, jemand
l'angle (m);Winkel
le fragment, le morceau;Fleck, Stück
respirer;atmen
entreprendre;unternehmen, veranstalten
les vacances;Ferien
particulièrement;besonders, eigens / ausdrücklich, speziell
le soin;Besorgnis, Sorge
quatre-vingt-dix;neunzig
prélever;abholen, abnehmen
le progrès;Fortschritt
la chaise;Stuhl
sympa, sympathique;sympathisch
barque;Boot
hôpital (m);Hospital, Krankenhaus / Hospiz
balade;Spaziergang
détériorer;beschädigen, Schaden zufügen, verderben, verletzen
la famille;Familie
le ministère;Ministerium
le songe;Traum
le convive;Gast
se trouver;sich aufhalten, sich befinden
la grand-mère, l'aïeule (f);Großmutter
l'orient (m), l'est (m);Orient, Osten
la zone;Zone
la rame;Eisenbahnzug, Zug
interdire;untersagen, verbieten
la photographie;Lichtbild, Foto, Bild, Fotografie
dernier;letzter, letzte, letztes
la boutique;Geschäft, Laden, Kramladen
l'essai (m);Experiment, Versuch / Probe, Prüfung
le bal;Ball
le motif;Antrieb, Beweggrund, Grund, Motiv
là;da, dort
l'appétit (m);Appetit
le verre;Glas
le poulet;Huhn
le chemin de fer;Bahn, Eisenbahn
agripper;greifen, angreifen, ergreifen
la souris;Maus
la police;Polizei
la seconde;Sekunde
le Belge;Belgier
le doute;Bedenken, Zweifel
le bateau;Boot / Schiff
le souper;Abendessen, Abendmahl
le petit-fils;Enkel
s'en aller;abreisen, fortgehen
la cuillère, la cuiller;Löffel
le pensionnat, la pension de famille;Fremdenheim, Pension
pourvoir, munir;anschaffen, ausstatten, versehen, versorgen
détruire;vernichten, zerstören
la boîte;Büchse, Schachtel
le serveur, le garçon de café;Kellner
le visage, la face;Angesicht, Antlitz, Gesicht
cacher;bergen, verbergen, verhehlen, verheimlichen, verstecken
le poisson;Fisch
toutes, les deux, tous, l'un et l'autre, l'une et l'autre;beide
la paix;Friede
le commerce;Handel
la crise;Krise
la nation;Nation
le grand-père, l'aïeul (m);Großvater
le frère;Bruder
la matinée, le matin;Frühe, Morgen
relativement;ziemlich
la loi;Gesetz
consister;bestehen
luter, combattre, batailler;kämpfen
admirable;bewundernswert, wunderbar
vers;an, in, nach, zu
dame;Dame, Herrin
guider;führen, leiten, lenken
la corbeille, le panier;Korb
l'insecte (m);Insekt
juger;richten, urteilen, beurteilen
la tomate;Tomate
le sud;Süden
le chauffeur;Chauffeur, Fahrer
la vallée;Tal
dépendre;abhängen
meilleur;besser
l'oncle (m);Onkel
la grève;Streik
la protection;Begünstigung, Protektion, Schirm, Schutz
exprimer;ausdrücken
la peur;Angst / Furcht
le docteur médecin, le médecin;Arzt, Doktor
longtemps, longuement;lange
la malle;Koffer
sans;ohne
le conte;Märchen
la porte;Tür
mou, mœlleux;weich
la fantaisie;Einbildungskraft, Phantasie
affable, amène, amicalement;freundlich
éviter;ausweichen, entweichen, vermeiden
la pâte;Pasta, Paste, Teig
amuser;amüsieren, belustigen, ergötzen, unterhalten
le voisin;Nachbar
terrible, affreux;entsetzlich, furchtbar, schrecklich, grässlich
tenter;in Versuchung führen, versuchen
dire;erwähnen, sagen
la croix;Kreuz
accidentel;zufällig
la chambre à coucher;Schlafzimmer
le neveu;Neffe
la lune;Mond
l'intitulé (m);Titel
huile (f);Öl
le mâle;Mann
le chiffon, le lambeau;Fetzen, Lappen
sur;oben / an, auf / bei, zu
concis;bündig, gedrängt, kurz
la fille;Tochter / Mädchen
l'étudiant (m);Student
la fin;Ende
frais;frisch, neu, unberührt
le Français;Franzose
la révolution;Revolution
le fiancé;Bräutigam
le professeur;Professor
le melon;Melone
le Suisse;Schweizer
le thème;Thema
huit;acht
le maître;Meister / Wirt
dix;zehn
l'anglais (m), la langue anglaise;Englisch, englische Sprache
la vieillesse, l'âge (m);Alter
le brouillard;Nebel
chaud;warm
le cochon;Schwein
la plage;Strand
le sport;Sport
la banane;Banane
l'Italie (f);Italien
réussir, abouter;Erfolg haben, gelingen
la maladie;Krankheit, Erkrankung
seulement, ne ... que;allein, bloß, erst, lediglich, nur
belge;belgisch
le boulanger;Bäcker
au commencement, en premier lieu;erst, erstens, zuerst
le pantalon;Hose
les politique;Politik
combien de, combien;wieviel
le personne;Person
le puits;Brunnen
le pâturage;Weide, Wiese
le théâtre;Theater
demi;halb
jusqu'à;bis
neuf;neun
la récompense;Prämie, Preis
l'opinion (f);Äußerung, Gesinnung, Meinung
le but;Ziel, Zweck
le dessein;Ziel, Zweck / Absicht, Plan
le chapeau;Hut
la chute, le cas;Fall
l'être humain (m);Mensch
le mètre;Meter
partout;allenthalben, allerorten, überall
Hollande (f);Holland
le système;System
la Belgique;Belgien
ressentir;empfinden, fühlen
le soir;abends
la république;Freistaat, Republik
l'arbre (m);Baum
l'animal (m);Tier
le concours;Preisausschreiben, Wettbewerb
penser;denken
mener;führen, leiten
comment;was für ein, welch
l'emplette (f);Kauf, Einkauf
l'accident (m);Unfall
la Russie;Russland
dans;in, nach, zu
le beurre;Butter
sucré;süß
l'industrie (f);Gewerbe, Industrie
avoir;besitzen, haben, innehaben
le prince;Fürst, Prinz
le goût;Geschmack
le dollar;Dollar
quelque chose;etwas, irgendetwas
le navire;Schiff
vivre;leben
le vent;Wind
charitable, humain;human, menschenfreundlich, menschlich
le tapis;Teppich
le paysage;Landschaft
le député;Abgeordneter
la fleur;Blume
la minute;Minute
beau;hübsch, schön
enfant;Kind
le nombre;Anzahl, Zahl
servir;dienen, bedienen
le poste;Posten / Post
subit;plötzlich
en dehors de;außer, außerhalb
le cacao;Kakao
convaincre;überreden, überzeugen
maintenant;jetzt, gegenwärtig, nun
le froment;Weizen
près de;an, bei, neben
dur;schwer / hart
la pierre;Stein
le chauffage;Heizung
le Grec;Grieche
l'électricité (f);Elektrizität
le concert;Musikaufführung, Konzert
le couteau;Messer
l'essence (f);Benzin
le terrain;Gelände
le front;Front, Vorderseite / Stirn
le mercredi;Mittwoch
la demeure, habitation (f), le logis, le logement, le gîte;Wohnhaus, Wohnung
la mémoire;Andenken, Erinnerung, Gedächtnis
la revue;Revue, Zeitschrift
prêt;bereit, fertig
l'autobus (m);Autobus, Bus
le menu;Menü, Speisekarte
souhaiter;wünschen / hoffen
considérable, important, grave;arg, bedeutend, bedeutsam, beträchtlich, erheblich, ernst, wichtig
le juge;Richter
danser;tanzen
la scène;Bühne, Szene
nombreux;mancher, viele
le Chinois;Chinese
la fumée;Rauch
pleuvoir;regnen
milliard;Milliarde
la musique;Musik
le caprice;Eigensinn, Laune
profond;tief
la chance;Chance
même;selber, selbe, selbes / gleicher, gleiche, gleiches / gar, ja, selbst, sogar
las, fatigué;matt, müde
la société;Gesellschaft
probablement;wohl / wahrscheinlich
le curé;Geistliche, Pastor, Pfarrer, Priester
la blessure;Verwundung, Verletzung, Wunde
le cuisinier;Köchin, Koch
dénudé, nu;bloß, nackt
le torrent;Strom
le dîner;Mittagessen / Abendessen, Abendmahl
le rond-point, l'esplanade (f);Platz
au lieu de;an Stelle von, statt, anstatt
le début;Beginn, Anfang
la qualité;Beschaffenheit, Güte, Qualität
l'état (m);Stand, Zustand / Staat
au-dessus de;oberhalb, über
le Portugal;Portugal
offenser;beleidigen, kränken, verletzen
être lumineux, luire;leuchten
principal;hauptsächlich, vorzüglich / Haupt-
le chemin;Weg, Bahn / Chaussee, Strecke
le petit pain;Brötchen
âcre;grell, herb, scharf / bitter
parler;reden, sprechen
l'amitié (f), le témoignage d'amitié, la protestation d'amitié;Freundschaft
le mont;Berg
l'automne (m);Herbst
la Suède;Schweden
bleu;blau
de;von, des / aus, aus ... heraus / um / anläßlich, halber, um ... willen, wegen
le soleil;Sonne
être d'avis, penser que;dafür halten, erachten, meinen
la page;Seite, Buchseite
en réalité;freilich, tatsächlich
hôtel (m);Hotel
l'or (m);Gold
changer;ändern, tauschen, umändern, umtauschen, wechseln, umwechseln
condamner;verdammen, verurteilen
loger;wohnen
le savon;Seife
le conseiller;Führer
le Pâques;Ostern
tel;solcher, solche, solches / derartiger, derartige, derartiges
le médicament;Arznei, Medikament
l'église (f);Kirche
l'armoire (f);Schrank
la laitue;Kopfsalat, Salat
splendide;herrlich, stattlich, wunderbar
rare, rarement;selten
renseigner, informer;Auskunft geben, benachrichten, informieren, mitteilen
mal, mauvais;böse, schlecht
le fruit;Frucht
la culture;Kultur
le ménage;Wirtschaft
extraordinaire, prodigieux;außerordentlich
quatorze;vierzehn
le gâteau;Kuchen
la façon de marcher;Lauf
mais;aber, allein, dagegen, sondern
l'agrégat (m);Aggregat, Haufen
l'ombre (f);Schatten
quelques;ein paar, einige, etliche, manche
l'envoi (f);Sendung
la salutation;Gruß
prendre l'initiative;anstiften, veranlassen
la machine;Maschine
le œil;Auge
le poivre;Pfeffer
au moins;wenigstens
trancher, couper;schneiden
le lundi;Montag
beaucoup de;viel, viele
curieux;kurios, merkwürdig, seltsam / neugierig
le signe;Abzeichen, Anzeichen, Kennzeichen, Merkzeichen, Wink, Zeichen
le récit;Erzählung, Geschichte
le journal;Zeitung / Journal
le janvier;Januar
l'instant (m), le moment;Augenblick, Moment
nul;keiner, keine, keines / kein, keinerlei / niemand / wertlos
chose, produit;Ding
écouter;anhören, horchen, aushorchen, zuhören
pardonner;entschuldigen, verzeihen
le sucre;Zucker
la liberté;Freiheit
l'Autriche (f);Österreich
le Danemark;Dänemark
abîmer;vernichten, zerstören / beschädigen, Schaden zufügen, verderben, verletzen / verschlechtern, verschlimmern / umbringen
la moto;Kraftfahrrad, Motorrad
soixante-dix;siebzig
la parole;Wort
tolérer;dulden
le cœur;Gemüt, Herz
la partie;Anteil, Teil
l'art (m);Kunst
le danger;Gefahr
le nord;Norden
la bouteille;Flasche
voilà, voici;da, hier, hier ist, siehe
la rose;Rose
la dénonciation;Anzeige
l'intention (f);Absicht, Plan
la promenade en voiture;Fahrt
le riz;Reis
connu;bekannt
contre;an, gegen, gegenüber, wider / auf
vingt;zwanzig
le passager;Fahrgast, Passagier
soit ... soit, soit ... soit ...;entweder ... oder
le Jésus-Christ;Jesus Christus
moderne;modern
peindre, dépeindre;malen
le plaisir;Gefallen / Freude, Genuss, Vergnügen
se consacrer;sich widmen
la production;Erzeugung, Produktion
la reine;Königin
la nièce;Nichte
précis;bestimmt, bündig, exakt, genau, präzis, präzise, pünktlich
la manière d'être;Stand, Zustand
le village;Dorf, Ort
le public;Publikum
la lueur;Schein
diriger;dirigieren, führen, richten, steuern / leiten / lenken
le client;Klient, Kunde
la brosse à dents;Zahnbürste
l'assiette (f);Teller
réclamer, avoir besoin de, requérir;benötigen, brauchen, nötig haben
le doigt;Finger
le parfum;Parfüm
l'oiseau (m);Vogel
conter, raconter;erzählen
la poche;Tasche
le roman;Roman
à merveille;sehr gut, hervorragend
le véhicle, la voiture;Fuhrwerk, Gefährt, Wagen
être composé de;bestehen aus
le mars;März
beaucoup;viel, zahlreich / massig, sehr, arg, eine Menge / häufig, oft
la maison;Haus
en avant;hervor, vorwärts
l'amour (m);Liebe
le sel;Salz
la tante;Tante
bien sûr;natürlich
hasard (m);Zufall
acheter;kaufen, sich kaufen, einkaufen
le canard;Ente
l'instrument (m), l'ustensile (m), l'outil (m);Mittel, Werkzeug
les vêtements;Kleider
haut;erhaben, hoch / laut
la volonté, le gré;Wille
le nez;Nase
la semaine;Woche
lumineux;hell
la Grèce;Griechenland
à;an, in, nach, zu / bei, neben / in Begleitung von, mit, zusammen mit, zuzüglich / à, je / für, um, um zu / auf / bis
inutile;nutzlos
la lampe;Lampe
le malheur;Ungemach, Unglück
l'angoisse (f), anxiété;Angst
plus loin;weiter
plus;mehr / ferner, weiter / plus
saluer;grüßen, begrüßen
l'assise (f), la base;Basis, Grundlage
dix-sept;siebzehn
tout le monde;alle
sembler;scheinen
payer;zahlen, abzahlen, auszahlen, bezahlen, einzahlen, entrichten
la vache;Kuh
le massif, le massif de montagnes;Gebirge
la vitre;Glas
devenir;geschehen, vorkommen, werden
noir;schwarz
bon;gut, gütig
la fabrique;Fabrik
treize;dreizehn
s'il vous plaît;bitte
pendant que, lors, pendant, durant, tandis que;während
au sujet de;anbelangt, betreffend, über, von
ensuite;dann, darauf, hinterher, nachher, später / danach / folglich
le local;Anstalt, Ort, Platz, Stelle / Stube, Zimmer
la conférence, l'exposé (m);Vortrag
le présent;Gegenwart
vendre;veräußern, verkaufen
les lunettes;Brille
le meuble;Möbel
les ciseaux;Schere
l'obligeance (f);Gefälligkeit
le canal;Graben, Kanal
la bombe;Bombe
le charbon;Kohle
l'enveloppe (f);Briefumschlag, Kuvert, Umschlag
le cou;Hals
le faire-part;Auskunft, Bericht, Bescheid / Mitteilung, Nachricht / Bekanntmachung
l'économie (f);Ökonomie, Wirtschaft
le rôle;Rolle
la bière;Bier
aimable;freundlich / liebenswürdig
français;französisch
hier;gestern
le balcon;Balkon
avec;in Begleitung von, mit, zusammen mit, zuzüglich
le lait;Milch
la permission;Urlaub / Erlaubnis
ne ... plus;nicht mehr
le membre;Glied, Mitglied
indiquer;andeuten, weisen, anweisen, zeigen / angeben, hinweisen
dormir;schlafen
la fève;Bohne
le voyageur;Reisende
s'excuser;sich entschuldigen
avertir;warnen
jaloux;eifersüchtig
le propos;Äußerung / Absicht, Plan
la crête, le peigne;Kamm
porter;tragen
le quartier;Stadtviertel, Viertel
la chaussée;Landstraße
deuxième, second;zweiter, zweite
conclure;folgern, schließen
champ;Feld
le record;Rekord
le procédé;Benehmen, Betragen, Verhalten / Verfahren
la dentelle;Spitze
se marier;sich verheiraten
à cause de;anläßlich, halber, um ... willen, wegen
aujourd'hui;heute
le problème;Problem
omettre;verpassen
fréquent;häufig
la pause;Pause
atteindre;erlangen, erzielen, reichen, erreichen / treffen
mieux;lieber / am liebsten
le mouchoir;Taschentuch
la bougie;Kerze, Licht / (Zünd-)Kerze
au milieu de;unter, mitten unter, zwischen / inmitten von
l'agence de voyage (f);Reisebüro
hiver (m);Winter
la conversation;Gespräch, Konversation, Unterhaltung
enfin, finalement;endlich
l'enfant royal (m);Königssohn, Prinz
le reproche;Tadel, Vorwurf
le directeur;Direktor, Leiter, Vorsteher
l'avril (m);April
ailleurs;anderswo
la fiancée;Braut
l'Asie (f);Asien
le tort;Unrecht
la feuille;Blatt
l'Allemand (m);Deutscher
avoir soin de, s'occuper, se soucier de, veiller à;Sorge tragen, sorgen
la voie;Bahn, Chaussee, Strecke, Weg
la toilette;Toilette
la rennomée;Gerücht, Ruf
au bord de, chez, tous près de;an, bei, zu
ne ... jamais, jamais;nie, niemals, nimmer
espérer;hoffen
la religion;Glaube, Religion
le moustique;Mücke / Moskito, Stechmücke
le musée;Museum
le coq;Hahn
arriver;ankommen, eintreffen, gelangen, zukommen, herzukommen / hingeraten / geschehen, passieren, sich ereignen, stattfinden, vorkommen / Erfolg haben, gelingen
la danse;Tanz
compléter;vervollständigen / ausfüllen, erfüllen
le père;Pater, Vater
l'après-midi (m);Nachmittag
le maillot de bain;Badeanzug
le programme;Programm
merci;danke
la représentation;Auffassung, Wahrnehmung / Darbietung, Darstellung, Vorstellung
vert;grün
la cousine;Base, Kusine
la poudre;Puder / Pulver
la tempête;Sturm
le bas;Strumpf
l'Espagnol (m);Spanier
souffler;blasen, wehen
l'article (m);Artikel / Abhandlung
acte;Handlung, Tat
la poule;Henne / Huhn
la courage;Mut
l'orage (m);Gewitter / Sturm
le chou;Kohl
l'île (f);Eiland, Insel
se fatiguer;ermatten, ermüden
le chocolat;Schokolade
l'an (m);Jahr
affreusement;furchtbar
l'exercice (m);Übung
la pomme;Apfel
la règle;Regel
le désir;Lust, Wunsch
l'occident (m);Abendland, Okzident, Westen
ridicule;lächerlich
l'espoir (m), l'espérance (f);Hoffnung
flamber;brennen
le dos;Rücken
l'Italien (m);Italiener
avant;jüngst, vor
le kilomètre;Kilometer
l'Afrique (f);Afrika
mille;tausend
faire glisser;schieben
l'office religieux (m);Gottesdienst
la chandelle;Kerze, Licht
évident;augenscheinlich, ersichtlich, offenbar
la discussion;Diskussion
dix-huit;achtzehn
rimarquer;bemerken
long;lang
douter;zweifeln, bezweifeln
la soif;Durst
se tromper;sich irren
affligé, peiné, triste;betrübt, traurig
défendre;behaupten, beschützen, verteidigen
l'expérience (f);Experiment, Versuch
l'aplomb (m), la sécurité;Sicherheit
entendre;hören, vernehmen
s'arrêter;halten, anhalten, Halt machen, stocken, stoppen
la carte postale;Postkarte
ce soir;heute abend
le roi;König
le paquet;Bündel, Päckchen, Paket / Ballen
à travers;hindurch
la période;Periode
à l'instant;eben, gerade, just, soeben
fêter;feiern
douze;zwölf
oui;ja, doch
la fenêtre;Fenster
débuter, activer;anfangen, beginnen
en aucune façon, en aucune manière;auf keiner Weise, gar nicht, in keiner Weise, keineswegs
la Norvège;Norwegen
la lèvre;Lippe
être assis;sitzen
le rapport;Bericht, Meldung, Rapport, Referat, Vortrag
l'acteur (m);Schauspieler
valoir;aufwiegen, gelten, wert sein
étranger;ausländisch, fremd
l'interview (f), l'entrevue (f);Interview
baigner;baden
sincère;aufrichtig
emmailloter;wickeln, einwickeln
blond;blond
l'exemple (m);Beispiel, Exempel
l'inauguration (f), le commencement;Anfang, Beginn
en face de;an, gegen, gegenüber, wider
la leçon;Kurs, Kursus / Lehraufgabe, Lektion, Unterrichtsstunde
l'avocat (m);Advokat, Anwalt, Rechtsanwalt
le train;Zug / Eisenbahnzug
le ministre;Minister
plat;eben, glatt, flach / platt
l'allemand (m), la langue allemande;Deutsch, deutsche Sprache
le principe;Grundsatz, Prinzip
célébrer;feiern
majeur;arg, bedeutend, bedeutsam, beträchtlich, erheblich, ernst, wichtig / in Dur / volljährig
à droite;rechts
la nuance;Abstufung, Nuance, Schattierung, Ton
la cigarette;Zigarette
le dimanche;Sonntag
redoutable;besorglich, gefährlich / furchtbar
le foyer;Herd
le sandwich;Sandwich
excuser;entschuldigen / verzeihen / rechtfertigen
le bague, l'anneau (m);Ring
la paroi, la cloison;Wand
actuel;aktuell, gegenwärtig
modeste;anspruchslos, bescheiden
l'image (f);Ansicht, Bild
Hollandais (m);Holländer
la route;Bahn, Chaussee, Strecke, Weg / Landstraße
mari et femme;Ehepaar
la commande;Auftrag, Bestellung
la province;Provinz
répéter;wiederholen
très, fortement;sehr
onze;elf
adieu;adieu, auf Wiedersehen, lebe wohl
outre;jenseits, über, hinüber
le prêtre;Geistliche, Pastor, Pfarrer, Priester
la situation;Fassung, Lage, Situation, Zustand
en;an, in, nach, zu / um
la tarte;Torte
limiter;begrenzen, beschränken, einschränken
émouvoir;agitieren / bewegen, erschüttern, rühren / ergreifen, erregen, berühren
la pêche;Pfirsich
ombre;Schatten
aussi;auch, ebenfalls, gleichfalls / also, daher, darum, deshalb
bagnole;Auto / Fuhrwerk, Gefährt, Wagen
obliger à;zwingen
le plancher;Boden, Diele, Fußboden
le crayon;Bleistift
la toque, le bonnet;Mütze
la valeur;Bedeutung, Geltung, Wert
le mot;Vokabel, Wort
spécial;Spezial..., speziell
le thermomètre;Thermometer
habilité (f), la capacité;Fähigkeit, Gewalt, Können, Kraft, Macht, Vermögen
la dette;Ausstand, Schuld
rellier;verbinden
la forme;Form, Gestalt
décider;beschließen, entscheiden, sich entschließen
manquer;verfehlen / fehlen, mangeln, ermangeln / vermissen
l'orifice (m);Öffnung, Loch
le numéro;Nummer
le nuage;Wolke
quiet;fromm, gelassen, ruhig, sanft
britannique;britisch
le parc;Park
le quotidien;Journal, Zeitung
hispanique, espagnol;spanisch
la lumière;Licht
recueiller, accepter, agréer;annehmen, empfangen, genehmigen
volontiers;am liebsten, lieber / bereit, bereitwillig, gern
agité;irre, toll, verrückt, wahnsinnig / heftig, unruhig / besorgt
le journaliste;Journalist
semblable, pareil;ähnlich
en fait, vraiment, en vérité;fürwahr, wahrhaftig, wahrlich, wirklich
l'avenir (m);Futur, Futurum, Zukunft
intervenir;sich unterhalten / dazwischentreten, einschreiten / geschehen, passieren, sich ereignen, stattfinden, vorkommen
jaune;gelb
poli, courtois;artig, galant, höflich
le Portugais;Portugiese
devant;jüngst, vor / früher, zuvor
l'effort (m);Anstrengung / Bemühung, Mühe, Mühsal, Versuch
la déclaration;Angabe, Anzeige
le gramme;Gramm
le trait;Gesichtszug, Zug
embaumer, exhaler un odeur;duften, riechen
le fils;Sohn
assembler;mitnehmen
s'intéresser;sich interessieren
remédier, réparer, refaire;reparieren
la signature;Unterschrift
la blouse;Bluse
le litre;Liter
la tête;Kopf
mentionner;nennen
courir;laufen
le dessous;Wäsche
rectifier;berichtigen, korrigieren, verbessern / ermorden, töten / morden
l'opposition (f);Opposition
rude;grell, herb, scharf / arg, barsch, grob
l'escalier (m);Stiege, Treppe
l'arrivée (f);Ziel / Ankunft, Eintreffen
le service;Gefallen, Gefälligkeit / Amt, Anstellung, Dienst / Sektion / Geschirr, Tisch-Service
le papier;Papier
le seau;Eimer
le style;Stil
exister;bestehen, da sein, existieren, vorhanden sein
est-ce que, est-ce qu';ob
supporter, soutenir;aushalten, ausstehen, ertragen
parvenir;erlangen, erzielen, reichen, erreichen / Erfolg haben, gelingen / treffen
mourir, décéder;sterben
effectif;effektiv, tatsächlich, wirklich
l'orchestre (m);Orchester
la signification;Sinn, Verstand / Bezeichnung, Meinung, Bedeutung
aubergiste;Wirt
premier;erster, erste, erstes
le champ;Acker / Feld, Flur, Land
la roue;Rad
la requête;Gang, Schritt / Bemühung, Mühe, Mühsal, Versuch
le camarade;Genosse, Kamerad
tricher;ergaunern / betrügen, hintergehen, täuschen
le corps;Körper, Leib
la Chine;China
l'affaire (f);Angelegenheit, Ding, Sache, Werk
en général;generell, überhaupt
la communication;Bericht, Mitteilung, Nachricht
l'Allemagne (f);Deutschland
le maire;Bürgermeister
ronde;rund
court;kurz
bouche;Mund
la presqu'île, la péninsule;Halbinsel
le son;Hall, Klang, Laut, Schall, Ton
laver;spülen, waschen
le Dieu, le dieu;Gott
le geste;Gebärde, Geste
le collège;Gymnasium
la chasse;Jagd
asseoir;setzen / sich setzen
la décision;Beschluss, Entschluss
tout;sehr / ganz, gänzlich, gar / allerhand, jeglicher / alles
la force;Stärke / Gewalt, Kraft
hôtel de ville (m);Rathaus
le taureau;Stier
le pain;Brot
selon;gemäß, nach
peser;wägen, abwägen, wiegen / schwer sein
derrière;hinter
le baiser;Kuss
emprunter;ausleihen, ausborgen / borgen, leihen, darleihen, entlehnen, verleihen
la pipe, le sifflet;Pfeife
le diable, le Satan;Teufel
le porc;Schweinefleisch / Schwein
l'Auguste (m), l'août (m);August
la locomotive;Lokomotive
le métal;Metall
acéré, percant;grell, herb, scharf
l'état politique (m);Staat
se soulever;aufgehen, sich erheben, steigen
la Pologne;Polen
la littérature;Literatur
à condition que;falls, wenn
pur;absolut, unbedingt, unbeschränkt / blank, rein, reinlich, sauber / einfach, einfältig
recevoir;annehmen, empfangen, genehmigen / bekommen, erhalten
blesser;verletzen, verwunden
laisser;lassen, überlassen, unterlassen, zurücklassen
accueillir;annehmen, empfangen, genehmigen / bekommen, erhalten / grüßen, begrüßen
en vain;umsonst, vergebens, vergeblich
alerter;alarmieren / warnen
maint;viel, zahlreich
le parapluie;Regenschirm
participer, prendre part;mitmachen, teilnehmen
critiquer;begutachten, kritisieren
dix-neuf;neunzehn
international;international
le miroir;Spiegel
amical;freundlich, freundschaftlich
la montagne;Gebirge / Berg
la grippe;Grippe
bravo;brav
la catégorie;Kategorie
le novembre;November
l'administration (f);Verwaltung
la brosse;Bürste
prêter;borgen, leihen, darleihen, entlehnen, verleihen
l'Espagne (f);Spanien
par exemple;zum Beispiel
affecter;berühren / bewegen, erschüttern, rühren / ergreifen, erregen
s'élancer;eilen, rennen
l'Australie (f);Australien
apprendre à;Auskunft geben, benachrichten, informieren, mitteilen / angeben, verkünden, ankündigen
l'aiguille à coudre (f);Nadel
le climat;Klima
le bras;Arm
la marche;Fahrt / Staffel, Stufe
sonore, à haute voix;laut
le collègue;Amtsbruder, Amtsgenosse, Genosse, Kollege
être habitué à, avoir coutume, avoir l'habitude de;sich gewöhnen
l'appel (m);Ruf
la terrasse;Terrasse
la nuit;Nacht
le derrière;hinter, nach / After, Gesäß
africain;afrikanisch
inviter;einladen
clair;hell, licht, lichtvoll / anschaulich, bestimmt, deutlich, klar
l'épaule (f);Achsel, Schulter
la fureur;Grimm, Wut
la patience;Geduld
s'abstenir de;sich enthalten / sich ... enthalten / ausweichen, entweichen, vermeiden
le Russe;Russe
japonais;japanisch
le ciel;Himmel
saint, sacré;heilig
admettre;annehmen, empfangen, genehmigen / zulassen / beipflichten, beistimmen, einwilligen, zustimmen, zuwilligen
conduire;führen, leiten / lenken, steuern
la chaussette;Halbstrumpf, Socke / Strumpf
bonjour;Guten Morgen / Guten Tag
remporter;erlangen, erzielen, reichen, erreichen / erringen, gewinnen
le grande personne, l'adulte (m);Erwachsener
